Site;Rate;H Error
1.0;1.0;0.0
1.0;2.0;0.0038793230649175
1.0;7.0;0.0162088957219168
1.0;30.0;0.0425305241829691
1.0;90.0;0.1054010146558668
1.0;182.0;0.193913249256011
1.0;365.0;0.2364798653552871
1.0;730.0;0.3066294603669017
1.0;3652.0;0.4135006551951883
2.0;1.0;0.0
2.0;2.0;0.0024436471432086
2.0;7.0;0.0100550818986154
2.0;30.0;0.0266639212930479
2.0;90.0;0.0681692089993866
2.0;182.0;0.1240271398199594
2.0;365.0;0.1477079402484747
2.0;730.0;0.1872937575247316
2.0;3652.0;0.2417057915520439
3.0;1.0;0.0
3.0;2.0;0.0037050268572391
3.0;7.0;0.015395923499432
3.0;30.0;0.0404493979934081
3.0;90.0;0.1027571012342629
3.0;182.0;0.1874998532504132
3.0;365.0;0.2184592788548915
3.0;730.0;0.2706465721432402
3.0;3652.0;0.3404824929883649
4.0;1.0;0.0
4.0;2.0;0.0029038378128997
4.0;7.0;0.0135430090036463
4.0;30.0;0.0343745209691433
4.0;90.0;0.1283290709635083
4.0;182.0;0.2632623530631015
4.0;365.0;0.3843631902014273
4.0;730.0;0.5794391772227295
4.0;3652.0;0.784027044277768
6.0;1.0;0.0
6.0;2.0;0.0032206439689154
6.0;7.0;0.0131985855861548
6.0;30.0;0.0352018987493894
6.0;90.0;0.0805447502647162
6.0;182.0;0.1420184155417079
6.0;365.0;0.1622019124236216
6.0;730.0;0.1886275265653157
6.0;3652.0;0.2204814325790526
7.0;1.0;0.0
7.0;2.0;0.0030580677191298
7.0;7.0;0.0148834131981546
7.0;30.0;0.0316583333666094
7.0;90.0;0.086542647569335
7.0;182.0;0.1821309914129173
7.0;365.0;0.2199584496227709
7.0;730.0;0.2874353576477332
7.0;3652.0;0.4438459728656725
8.0;1.0;0.0
8.0;2.0;0.0024292213964008
8.0;7.0;0.0098897397031194
8.0;30.0;0.0261748518897128
8.0;90.0;0.0692507301025263
8.0;182.0;0.1350018125779318
8.0;365.0;0.1669176491637847
8.0;730.0;0.2290698705623457
8.0;3652.0;0.2988454033579271
10.0;1.0;0.0
10.0;2.0;0.0036961359926021
10.0;7.0;0.0149153057926668
10.0;30.0;0.0396167202369016
10.0;90.0;0.0915538363720714
10.0;182.0;0.1694940808176965
10.0;365.0;0.1919192240305992
10.0;730.0;0.2219972819663322
10.0;3652.0;0.277418471559083
11.0;1.0;0.0
11.0;2.0;0.0019370712288229
11.0;7.0;0.007095871537476
11.0;30.0;0.020072089411818
11.0;90.0;0.0435498926878454
11.0;182.0;0.0809120145894057
11.0;365.0;0.1027263425009789
11.0;730.0;0.1622678540420822
11.0;3652.0;0.2201414820862259
12.0;1.0;0.0
12.0;2.0;0.0031172366230168
12.0;7.0;0.0119980742691852
12.0;30.0;0.0336530456759948
12.0;90.0;0.0730083632551525
12.0;182.0;0.1222048385002407
12.0;365.0;0.1401841306625733
12.0;730.0;0.1678353858801527
12.0;3652.0;0.2076715457193804
13.0;1.0;0.0
13.0;2.0;0.0022063438684162
13.0;7.0;0.0079049822077504
13.0;30.0;0.021215598309817
13.0;90.0;0.0459743068795799
13.0;182.0;0.0731496298288549
13.0;365.0;0.0799346362186648
13.0;730.0;0.0884871835852028
13.0;3652.0;0.0993700430118872
14.0;1.0;0.0
14.0;2.0;0.0025659666410965
14.0;7.0;0.0103738358831147
14.0;30.0;0.0275341640025388
14.0;90.0;0.0669928669115922
14.0;182.0;0.1215173863507666
14.0;365.0;0.1425932016706186
14.0;730.0;0.1853542925340359
14.0;3652.0;0.2711404842844023
15.0;1.0;0.0
15.0;2.0;0.006634684505364
15.0;7.0;0.0311773625577056
15.0;30.0;0.0825331753189077
15.0;90.0;0.2366167660152137
15.0;182.0;0.4957286907657203
15.0;365.0;0.5986284345185184
15.0;730.0;0.7549130005430196
15.0;3652.0;1.1253996205961938
16.0;1.0;0.0
16.0;2.0;0.0031220060443771
16.0;7.0;0.0119243259775783
16.0;30.0;0.0353137113675942
16.0;90.0;0.0895169299721877
16.0;182.0;0.170593776057579
16.0;365.0;0.2097726621222561
16.0;730.0;0.2551800239400359
16.0;3652.0;0.3146286910434445
17.0;1.0;0.0
17.0;2.0;0.0036195277470909
17.0;7.0;0.0154406150457085
17.0;30.0;0.0413325160789286
17.0;90.0;0.1067295865950587
17.0;182.0;0.1967703504900904
17.0;365.0;0.2335533325873067
17.0;730.0;0.2945531520453903
17.0;3652.0;0.360705584925762
18.0;1.0;0.0
18.0;2.0;0.0016343316961933
18.0;7.0;0.005121275722781
18.0;30.0;0.013022431319224
18.0;90.0;0.0274766933281444
18.0;182.0;0.0455999859724022
18.0;365.0;0.0481160170316837
18.0;730.0;0.0497953805544372
18.0;3652.0;0.0515095706017609
19.0;1.0;0.0
19.0;2.0;0.0072548607901231
19.0;7.0;0.0313874267323508
19.0;30.0;0.0866235149493999
19.0;90.0;0.2019039969055668
19.0;182.0;0.3536643637347382
19.0;365.0;0.4183549524657499
19.0;730.0;0.4604984753848192
19.0;3652.0;0.4840729088696178
20.0;1.0;0.0
20.0;2.0;0.0029849962343305
20.0;7.0;0.012403614336042
20.0;30.0;0.0363035232843364
20.0;90.0;0.0939738204160915
20.0;182.0;0.1580830569715796
20.0;365.0;0.1939241683831579
20.0;730.0;0.2536156515933963
20.0;3652.0;0.3341612039576478
21.0;1.0;0.0
21.0;2.0;0.0035131589647779
21.0;7.0;0.0149255446543165
21.0;30.0;0.0354389533967742
21.0;90.0;0.0986127877393275
21.0;182.0;0.2030774731975679
21.0;365.0;0.2486389168180759
21.0;730.0;0.3009557777986608
21.0;3652.0;0.359974227568413
22.0;1.0;0.0
22.0;2.0;0.0025623977304338
22.0;7.0;0.0102307056616175
22.0;30.0;0.026952018249273
22.0;90.0;0.0665826349200478
22.0;182.0;0.1331744246574456
22.0;365.0;0.159802943245865
22.0;730.0;0.2160474341072332
22.0;3652.0;0.2821658600269947
23.0;1.0;0.0
23.0;2.0;0.0042627925995811
23.0;7.0;0.0205161496721075
23.0;30.0;0.0601751122032808
23.0;90.0;0.1655578430692754
23.0;182.0;0.3272893303727391
23.0;365.0;0.3934913033998186
23.0;730.0;0.4658165624744712
23.0;3652.0;0.5528061260026178
24.0;1.0;0.0
24.0;2.0;0.0024067949762981
24.0;7.0;0.011770072135544
24.0;30.0;0.0306645078478985
24.0;90.0;0.101023784559261
24.0;182.0;0.260205628970361
24.0;365.0;0.3600814737994693
24.0;730.0;0.5264062859373333
24.0;3652.0;0.6827578327244789
25.0;1.0;0.0
25.0;2.0;0.0027349948639427
25.0;7.0;0.0113878859696152
25.0;30.0;0.0289246948751953
25.0;90.0;0.0734978659430122
25.0;182.0;0.137609810009888
25.0;365.0;0.1586114600447141
25.0;730.0;0.1940339436318247
25.0;3652.0;0.2399666736275057
27.0;1.0;0.0
27.0;2.0;0.0038632200348545
27.0;7.0;0.0167692720000393
27.0;30.0;0.0493077354091983
27.0;90.0;0.1184679900139628
27.0;182.0;0.1933872963131468
27.0;365.0;0.2420824054153631
27.0;730.0;0.3365885671267685
27.0;3652.0;0.4808045723297416
28.0;1.0;0.0
28.0;2.0;0.004606022446235
28.0;7.0;0.0195617896314203
28.0;30.0;0.056126814949097
28.0;90.0;0.1550749403945858
28.0;182.0;0.266160749072908
28.0;365.0;0.3230017153258779
28.0;730.0;0.4079307738773825
28.0;3652.0;0.5555097219092765
29.0;1.0;0.0
29.0;2.0;0.0046567319144672
29.0;7.0;0.017704189066114
29.0;30.0;0.0532782227856177
29.0;90.0;0.098923572533551
29.0;182.0;0.1766235976068475
29.0;365.0;0.1971545989174654
29.0;730.0;0.2433264378162048
29.0;3652.0;0.2301542255238992
30.0;1.0;0.0
30.0;2.0;0.0022608700745166
30.0;7.0;0.0081883475743393
30.0;30.0;0.0218219316716011
30.0;90.0;0.0470231990120249
30.0;182.0;0.0830117928014303
30.0;365.0;0.0943415440641389
30.0;730.0;0.1194789148185668
30.0;3652.0;0.168161841624186
31.0;1.0;0.0
31.0;2.0;0.0052019937556268
31.0;7.0;0.0214204870829606
31.0;30.0;0.0618228281384582
31.0;90.0;0.1324723177991405
31.0;182.0;0.2075840095759335
31.0;365.0;0.2289915338080794
31.0;730.0;0.242304432050058
31.0;3652.0;0.2560647274911456
32.0;1.0;0.0
32.0;2.0;0.0023891640054046
32.0;7.0;0.0084231089134565
32.0;30.0;0.0230040296829622
32.0;90.0;0.0457122104847111
32.0;182.0;0.076167407400207
32.0;365.0;0.0837648100126376
32.0;730.0;0.0983949405701336
32.0;3652.0;0.1192744604576258
33.0;1.0;0.0
33.0;2.0;0.0033164643023262
33.0;7.0;0.0150696308069195
33.0;30.0;0.0414261394290704
33.0;90.0;0.124387425963291
33.0;182.0;0.243639917125156
33.0;365.0;0.2988345977101699
33.0;730.0;0.3988701153652205
33.0;3652.0;0.4797595042936473
34.0;1.0;0.0
34.0;2.0;0.0030450834259872
34.0;7.0;0.0137516295629559
34.0;30.0;0.0356613495864519
