Site_number,Approx,Chronicle,H Error,Rate,Execution Time,Number of Lines,Satured Zone Area,Vulnerability Sum,Vulnerability Rate,Global Area of site (in cells),Saturation Rate
1,0,0,0,1,60877,15341,10090,10033.2884125926,0.285637089694033,35126,0.287251608495132
1,0,0,0.00044292963274,2,54546,7671,10090,10033.2884125926,0.285637089694033,35126,0.287251608495132
1,0,0,0.002205925605331,7,37803,2193,10090,10033.2884125926,0.285637089694033,35126,0.287251608495132
1,0,0,0.006236628412056,30,30739,513,10090,10033.2884125926,0.285637089694033,35126,0.287251608495132
1,0,0,0.01747706227045,90,23598,172,10090,10033.2884125926,0.285637089694033,35126,0.287251608495132
1,0,0,0.034506986257009,182,13074,86,10090,10033.2884125926,0.285637089694033,35126,0.287251608495132
1,0,0,0.042512036125361,365,8486,44,10090,10033.2884125926,0.285637089694033,35126,0.287251608495132
1,0,0,0.053171704857162,730,5280,23,10090,10033.2884125926,0.285637089694033,35126,0.287251608495132
1,0,0,0.06529584141752,3652,1275,6,10090,10033.2884125926,0.285637089694033,35126,0.287251608495132
1,0,1,0,1,50268,15341,10212,10122.6764456804,0.288181872279235,35126,0.290724819222229
1,0,1,0.004003661845406,7,35958,2193,10212,10122.6764456804,0.288181872279235,35126,0.290724819222229
1,0,1,0.01212852396924,30,30776,513,10212,10122.6764456804,0.288181872279235,35126,0.290724819222229
1,0,1,0.036057965954222,90,25412,172,10212,10122.6764456804,0.288181872279235,35126,0.290724819222229
1,1,0,0,0,60877,15341,10090,10033.2884125926,0.285637089694033,35126,0.287251608495132
1,1,1,0,0,50268,15341,10212,10122.6764456804,0.288181872279235,35126,0.290724819222229
2,0,0,0,1,47307,15341,4825,4671.98054366178,0.168785424265237,27680,0.174313583815029
2,0,1,0,1,38538,15341,5015,4845.69186464819,0.175061122277752,27680,0.18117774566474
2,0,1,0.006999697012745,7,29411,2193,5015,4845.69186464819,0.175061122277752,27680,0.18117774566474
2,1,0,0,0,47307,15341,4825,4671.98054366178,0.168785424265237,27680,0.174313583815029
2,1,1,0,0,38538,15341,5015,4845.69186464819,0.175061122277752,27680,0.18117774566474
2,1,1,0.161802763966418,2,2624,8,5015,4845.69186464819,0.175061122277752,27680,0.18117774566474
3,0,0,0,1,66463,15341,7973,7770.85120436302,0.223300321964455,34800,0.229109195402299
3,0,1,0,1,56193,15341,8291,7989.46950477511,0.229582457033768,34800,0.238247126436782
3,1,0,0,0,66463,15341,7973,7770.85120436302,0.223300321964455,34800,0.229109195402299
3,1,1,0,0,56193,15341,8291,7989.46950477511,0.229582457033768,34800,0.238247126436782
4,0,0,0,1,15271,15341,1138,1117.49995818487,0.2129382542273,5248,0.216844512195122
4,0,0,0.000582496996199,2,11353,7671,1138,1117.49995818487,0.2129382542273,5248,0.216844512195122
