Site_number,Approx,Chronicle,H Error,Rate,Execution Time,Number of Lines,Slope,Elevation,LC,CW,Area,CV,HV
1,0,0,0,1,34367,15341,0.017383,14.031,1575,2.2527,57077000,1906,1033
1,0,0,0.003879323064918,2,18464,7671,0.017383,14.031,1575,2.2527,57077000,1906,1033
1,0,0,0.016208931751114,7,8508,2193,0.017383,14.031,1575,2.2527,57077000,1906,1033
1,0,0,0.042276779085203,30,4571,513,0.017383,14.031,1575,2.2527,57077000,1906,1033
1,0,0,0.104920063364805,90,3263,172,0.017383,14.031,1575,2.2527,57077000,1906,1033
1,0,0,0.194366927519514,182,2077,86,0.017383,14.031,1575,2.2527,57077000,1906,1033
1,0,0,0.237224159824465,365,1282,44,0.017383,14.031,1575,2.2527,57077000,1906,1033
1,0,0,0.308100170696464,730,721,23,0.017383,14.031,1575,2.2527,57077000,1906,1033
1,0,0,0.415729681528989,3652,214,6,0.017383,14.031,1575,2.2527,57077000,1906,1033
2,0,0,0,1,23960,15341,0.0029846,8.0214,1725,2.2279,16571000,720,308
2,0,0,0.003658672945089,2,14158,7671,0.0029846,8.0214,1725,2.2279,16571000,720,308
2,0,0,0.015076875601596,7,6439,2193,0.0029846,8.0214,1725,2.2279,16571000,720,308
2,0,0,0.039812502752155,30,3534,513,0.0029846,8.0214,1725,2.2279,16571000,720,308
2,0,0,0.100746369170639,90,2456,172,0.0029846,8.0214,1725,2.2279,16571000,720,308
2,0,0,0.179275241564548,182,1492,86,0.0029846,8.0214,1725,2.2279,16571000,720,308
2,0,0,0.212656511370183,365,915,44,0.0029846,8.0214,1725,2.2279,16571000,720,308
2,0,0,0.267916917327962,730,471,23,0.0029846,8.0214,1725,2.2279,16571000,720,308
2,0,0,0.341718787355827,3652,133,6,0.0029846,8.0214,1725,2.2279,16571000,720,308
3,0,0,0,1,29595,15341,0.00057374,10.704,1425,2.0877,20256000,831,561
3,0,0,0.003705026857239,2,17685,7671,0.00057374,10.704,1425,2.0877,20256000,831,561
3,0,0,0.015395923499432,7,8354,2193,0.00057374,10.704,1425,2.0877,20256000,831,561
3,0,0,0.040449397993408,30,4271,513,0.00057374,10.704,1425,2.0877,20256000,831,561
3,0,0,0.102757101234263,90,2890,172,0.00057374,10.704,1425,2.0877,20256000,831,561
3,0,0,0.187499853250413,182,1535,86,0.00057374,10.704,1425,2.0877,20256000,831,561
3,0,0,0.218459278854891,365,1043,44,0.00057374,10.704,1425,2.0877,20256000,831,561
3,0,0,0.27064657214324,730,579,23,0.00057374,10.704,1425,2.0877,20256000,831,561
3,0,0,0.340482492988365,3652,152,6,0.00057374,10.704,1425,2.0877,20256000,831,561
4,0,0,0,1,3870,15341,0.023758,11.237,1425,2.5802,5203100,140,83
4,0,0,0.0029038378129,2,2166,7671,0.023758,11.237,1425,2.5802,5203100,140,83
4,0,0,0.013543009003646,7,880,2193,0.023758,11.237,1425,2.5802,5203100,140,83
