Site;Slope;Elevation;LC;CW;Area
1.0;0.017383;14.031;1575.0;2.2527;57077000.0
2.0;0.0029846;8.0214;1725.0;2.2279;16571000.0
3.0;0.00057374;10.704;1425.0;2.0877;20256000.0
4.0;0.023758;11.237;1425.0;2.5802;5203100.0
5.0;0.013448;19.03;1500.0;2.2267;69126000.0
6.0;0.036538;12.06;1425.0;2.4961;20902000.0
7.0;0.017869;37.15;1350.0;2.1056;27810000.0
8.0;0.021748;6.9778;1650.0;2.0095;5220000.0
9.0;0.0094;7.9139;1800.0;2.0684;46513000.0
10.0;0.0048044;15.404;1575.0;1.5889;57802000.0
11.0;0.0054417;13.099;1650.0;2.9142;32676000.0
12.0;0.041692;15.048;1425.0;2.0142;95816000.0
13.0;0.017;7.6422;1650.0;2.9322;15452000.0
14.0;0.018148;40.589;1425.0;1.7481;52751000.0
15.0;0.026241;19.189;1500.0;3.2359;4303100.0
16.0;0.028223;29.454;1725.0;2.3301;81242000.0
17.0;0.0094464;30.539;1575.0;2.4613;61779000.0
18.0;0.020719;6.3567;1425.0;2.2444;10912000.0
19.0;0.0081185;2.4609;1725.0;2.6646;42446000.0
20.0;0.01503;11.743;1575.0;2.6242;36844000.0
21.0;0.033795;45.292;1350.0;2.4379;38571000.0
22.0;0.0096528;32.229;1500.0;2.1629;67568000.0
23.0;0.073487;13.12;1575.0;1.5577;3273800.0
24.0;0.038199;5.6431;2700.0;4.04;3735000.0
25.0;0.02218;48.571;1350.0;1.8653;59490000.0
26.0;0.020506;33.778;1425.0;2.3654;31202000.0
27.0;0.014051;16.678;1725.0;2.7998;74036000.0
28.0;0.01485;11.186;1725.0;2.8374;22202000.0
29.0;0.0053882;3.0773;1650.0;2.1762;52942000.0
30.0;0.0094;7.9139;1800.0;2.0684;46513000.0
