Site;Slope;Elevation;LC;CW;Area;Coastal Vulnerability;Hydrological Vulnerability;Satured Zone Area;Vulnerability Sum;Vulnerability Rate;Global Area of site (in cells)
1.0;0.017383000000000003;14.030999999999999;1575.0;2.2527;57077000.0;1906;1033;10373;10398.720357005725;0.2960405499346844;35126
2.0;0.0029846;8.0214;1725.0;2.2279;16571000.0;720;308;5180;5202.799358600462;0.18796240457371613;27680
3.0;0.00057374;10.704;1425.0;2.0877;20256000.0;831;561;8700;8744.7282976493;0.25128529590946264;34800
4.0;0.023758;11.237;1425.0;2.5802;5203100.0;140;83;1197;1198.4612599941795;0.228365331553769;5248
5.0;0.013447999999999998;19.03;1500.0;2.2267;69126000.0;656;2365;2262;2293.460986619973;0.0889455492193125;25785
6.0;0.036538;12.06;1425.0;2.4961;20902000.0;440;494;1125;1152.5682176556775;0.053458637182545336;21560
7.0;0.017869;37.15;1350.0;2.1056;27810000.0;1;439;2149;2157.4158180739905;0.15342169094538405;14062
8.0;0.021748;6.9778;1650.0;2.0095;5220000.0;159;129;4563;4571.162962892292;0.19126204865658125;23900
10.0;0.0048043999999999995;15.404000000000002;1575.0;1.5889;57802000.0;1191;1902;2538;2608.949895076261;0.054954184203818035;47475
11.0;0.0054417;13.099;1650.0;2.9142;32676000.0;608;1057;534;548.9670410682364;0.05424575504626843;10120
12.0;0.041692;15.048;1425.0;2.0142;95816000.0;2394;2320;2772;2829.4980264501837;0.05898474101417934;47970
13.0;0.017;7.6422;1650.0;2.9322;15452000.0;515;309;344;348.48279920238036;0.07031533478659814;4956
14.0;0.018147999999999997;40.589;1425.0;1.7481;52751000.0;33;1653;1198;1212.8957329081554;0.03190067943789368;38021
15.0;0.026241000000000004;19.189;1500.0;3.2359;4303100.0;44;31;4541;4553.360755593164;0.2996815029349193;15194
16.0;0.028223;29.454;1725.0;2.3301;81242000.0;1815;1330;5243;5258.6906540019645;0.19373307743891705;27144
17.0;0.0094464;30.539;1575.0;2.4613;61779000.0;185;1537;1528;1534.9696842304736;0.08958095618502909;17135
18.0;0.020719;6.3567;1425.0;2.2444;10912000.0;270;43;258;262.2135056324064;0.06970055971090014;3762
19.0;0.0081185;2.4609;1725.0;2.6646;42446000.0;4766;251;1569;1626.5722882492114;0.1070535927503759;15194
20.0;0.015030000000000002;11.743;1575.0;2.6242;36844000.0;886;1043;20338;20366.40839293909;0.4211677397882229;48357
21.0;0.033795;45.292;1350.0;2.4379;38571000.0;0;931;358;368.7536084106853;0.023107758391445368;15958
22.0;0.0096528;32.229;1500.0;2.1629;67568000.0;215;2266;635;645.0831063149186;0.027445673345597287;23504
23.0;0.073487;13.12;1575.0;1.5577;3273800.0;16;15;600;602.4443071011202;0.05071080026103707;11880
24.0;0.038199000000000004;5.6431;2700.0;4.04;3735000.0;102;23;1389;1390.4447820750365;0.2024526473609546;6868
25.0;0.022180000000000002;48.571000000000005;1350.0;1.8653;59490000.0;92;2059;6881;6904.806176761899;0.15199450067715725;45428
27.0;0.014051;16.678;1725.0;2.7998;74036000.0;1984;3286;4447;4497.45338672613;0.0891980204027316;50421
28.0;0.01485;11.186;1725.0;2.8374;22202000.0;1003;448;634;642.8226160394078;0.06643474742036046;9676
29.0;0.0053882;3.0773;1650.0;2.1762;52942000.0;5638;395;2781;2888.103638568655;0.14841231441771088;19460
30.0;0.0094;7.9139;1800.0;2.0684;46513000.0;841;1156;19157;19204.851461680548;0.3934130502638592;48816
