Site;Slope;Elevation;LC;CW;Area;Coastal Vulnerability;Hydrological Vulnerability
1;0,017383;14,031;1575;2,2527;57077000;1906;1033
2;0,0029846;8,0214;1725;2,2279;16571000;720;308
3;0,00057374;10,704;1425;2,0877;20256000;831;561
4;0,023758;11,237;1425;2,5802;5203100;140;83
5;0,013448;19,03;1500;2,2267;69126000;656;2365
6;0,036538;12,06;1425;2,4961;20902000;440;494
7;0,017869;37,15;1350;2,1056;27810000;1;439
8;0,021748;6,9778;1650;2,0095;5220000;159;129
10;0,0048044;15,404;1575;1,5889;57802000;1191;1902
11;0,0054417;13,099;1650;2,9142;32676000;608;1057
12;0,041692;15,048;1425;2,0142;95816000;2394;2320
13;0,017;7,6422;1650;2,9322;15452000;515;309
14;0,018148;40,589;1425;1,7481;52751000;33;1653
15;0,026241;19,189;1500;3,2359;4303100;44;31
16;0,028223;29,454;1725;2,3301;81242000;1815;1330
17;0,0094464;30,539;1575;2,4613;61779000;185;1537
18;0,020719;6,3567;1425;2,2444;10912000;270;43
19;0,0081185;2,4609;1725;2,6646;42446000;4766;251
20;0,01503;11,743;1575;2,6242;36844000;886;1043
21;0,033795;45,292;1350;2,4379;38571000;0;931
22;0,0096528;32,229;1500;2,1629;67568000;215;2266
23;0,073487;13,12;1575;1,5577;3273800;16;15
24;0,038199;5,6431;2700;4,04;3735000;102;23
25;0,02218;48,571;1350;1,8653;59490000;92;2059
27;0,014051;16,678;1725;2,7998;74036000;1984;3286
28;0,01485;11,186;1725;2,8374;22202000;1003;448
29;0,0053882;3,0773;1650;2,1762;52942000;5638;395
30;0,0094;7,9139;1800;2,0684;46513000;841;1156
