Site,SubCatch,Slope,Elevation,LC,SAR,Area,CV,HV
1,1,1.203898072242736816e+00,8.936689376831054688e+00,3.196764141126224104e+02,1.000253558158874512e+00,1.648125000000000000e+06,1.670000000000000000e+02,2.110000000000000000e+02
1,2,2.601986885070800781e+00,3.581294631958007812e+01,6.535899557341787158e+02,1.000563859939575195e+00,3.954375000000000000e+06,0.000000000000000000e+00,2.230000000000000000e+02
1,3,3.146333694458007812e+00,4.662732696533203125e+01,6.665893917044772934e+02,1.000756978988647461e+00,6.120000000000000000e+06,0.000000000000000000e+00,1.260000000000000000e+02
1,4,8.273637890815734863e-01,7.674784183502197266e+00,6.931489945051083623e+02,1.000167012214660645e+00,2.480625000000000000e+06,3.930000000000000000e+02,1.630000000000000000e+02
1,5,1.790146350860595703e+00,1.894985008239746094e+01,9.301089026907760626e+02,1.000325441360473633e+00,4.173750000000000000e+06,1.640000000000000000e+02,2.530000000000000000e+02
1,6,2.782739400863647461e+00,5.985429763793945312e+01,6.515724222637566072e+02,1.000695824623107910e+00,3.729375000000000000e+06,0.000000000000000000e+00,6.700000000000000000e+01
1,7,2.846760272979736328e+00,4.285374832153320312e+01,4.439521042826700068e+02,1.000849366188049316e+00,5.771250000000000000e+06,1.140000000000000000e+02,2.590000000000000000e+02
1,8,2.603170871734619141e+00,2.096189498901367188e+01,5.978946730002556933e+02,1.000729203224182129e+00,4.545000000000000000e+06,2.770000000000000000e+02,2.530000000000000000e+02
1,9,2.884154796600341797e+00,1.885621643066406250e+01,7.840447991505617438e+02,1.001341104507446289e+00,6.823125000000000000e+06,6.040000000000000000e+02,3.030000000000000000e+02
1,10,3.870577335357666016e+00,4.517925643920898438e+01,9.139617471538824702e+02,1.001478195190429688e+00,1.288125000000000000e+06,0.000000000000000000e+00,6.000000000000000000e+00
1,11,4.142512798309326172e+00,5.036155700683593750e+01,6.790976603728121290e+02,1.002013206481933594e+00,5.608125000000000000e+06,0.000000000000000000e+00,3.000000000000000000e+01
1,12,3.241987943649291992e+00,5.478100585937500000e+01,6.311641672104146892e+02,1.001113057136535645e+00,3.256875000000000000e+06,0.000000000000000000e+00,4.400000000000000000e+01
1,13,3.142261743545532227e+00,7.166827392578125000e+01,6.946164892217225315e+02,1.001142978668212891e+00,5.833125000000000000e+06,0.000000000000000000e+00,7.400000000000000000e+01
1,14,1.286903738975524902e+00,5.821711540222167969e+00,3.388306973821424890e+02,1.000611662864685059e+00,1.873125000000000000e+06,2.460000000000000000e+02,2.020000000000000000e+02
2,1,2.035973072052001953e+00,2.915998077392578125e+01,7.692980905742715549e+02,1.000433802604675293e+00,9.635625000000000000e+06,3.280000000000000000e+02,4.310000000000000000e+02
2,2,2.361304283142089844e+00,1.677496910095214844e+01,8.553556135473430686e+02,1.000914335250854492e+00,4.539375000000000000e+06,2.750000000000000000e+02,1.880000000000000000e+02
2,3,2.447963476181030273e+00,2.765632629394531250e+01,6.723238902088273790e+02,1.001010298728942871e+00,2.250000000000000000e+06,9.700000000000000000e+01,1.120000000000000000e+02
2,4,1.445256471633911133e+00,6.265078783035278320e-01,2.698936644269699627e+02,1.000616192817687988e+00,7.087500000000000000e+05,1.010000000000000000e+02,8.200000000000000000e+01
3,1,2.648301839828491211e+00,2.845598793029785156e+01,5.585270396481987518e+02,1.000663638114929199e+00,7.813125000000000000e+06,1.100000000000000000e+01,2.910000000000000000e+02
3,2,1.479211449623107910e+00,1.725738525390625000e+01,6.511561931283639524e+02,1.000310063362121582e+00,6.238125000000000000e+06,1.510000000000000000e+02,3.730000000000000000e+02
3,3,1.410937666893005371e+00,7.929444313049316406e+00,4.160343177763968470e+02,1.000536918640136719e+00,1.822500000000000000e+06,2.380000000000000000e+02,1.610000000000000000e+02
3,4,1.038580298423767090e+00,1.222735023498535156e+01,7.327539847285388532e+02,1.000198841094970703e+00,3.099375000000000000e+06,2.600000000000000000e+02,2.040000000000000000e+02
3,5,1.341566920280456543e+00,7.192125320434570312e+00,6.316631489572489500e+02,1.000532269477844238e+00,1.350000000000000000e+06,1.560000000000000000e+02,1.030000000000000000e+02
5,1,2.244918584823608398e+00,4.832758331298828125e+01,8.031197590557632111e+02,1.000404357910156250e+00,3.650625000000000000e+06,0.000000000000000000e+00,1.630000000000000000e+02
5,2,2.656481266021728516e+00,4.428155517578125000e+01,7.694413705631637868e+02,1.000527143478393555e+00,4.483125000000000000e+06,0.000000000000000000e+00,1.670000000000000000e+02
5,3,2.093888759613037109e+00,3.532602691650390625e+01,5.603673424389903630e+02,1.000480890274047852e+00,2.053125000000000000e+06,0.000000000000000000e+00,8.100000000000000000e+01
5,4,4.361580371856689453e+00,4.398292160034179688e+01,8.175602856937848628e+02,1.001629590988159180e+00,4.471875000000000000e+06,3.500000000000000000e+01,5.400000000000000000e+01
5,5,3.460420846939086914e+00,3.800090789794921875e+01,6.986985001944634632e+02,1.001256465911865234e+00,2.469375000000000000e+06,0.000000000000000000e+00,4.400000000000000000e+01
5,6,3.234457969665527344e+00,4.021027374267578125e+01,6.821929699549751831e+02,1.001116037368774414e+00,3.858750000000000000e+06,0.000000000000000000e+00,1.110000000000000000e+02
5,7,5.368023395538330078e+00,2.148500823974609375e+01,4.547585904600918525e+02,1.004186511039733887e+00,3.076875000000000000e+06,1.020000000000000000e+02,1.320000000000000000e+02
5,8,3.891347169876098633e+00,1.731803321838378906e+01,2.024619437192362170e+02,1.001490712165832520e+00,3.431250000000000000e+05,1.000000000000000000e+00,1.700000000000000000e+01
5,9,2.183604717254638672e+00,4.080785751342773438e+01,6.233887589895620067e+02,1.000857591629028320e+00,7.554375000000000000e+06,0.000000000000000000e+00,4.980000000000000000e+02
5,10,4.135514736175537109e+00,3.615329742431640625e+01,6.194416058103628302e+02,1.001655459403991699e+00,4.590000000000000000e+06,2.000000000000000000e+00,1.440000000000000000e+02
5,11,2.168945074081420898e+00,5.202625656127929688e+01,6.325484281266994913e+02,1.000445723533630371e+00,4.241250000000000000e+06,0.000000000000000000e+00,2.000000000000000000e+02
5,12,2.331976413726806641e+00,4.195405578613281250e+01,6.377399728378625241e+02,1.000807046890258789e+00,4.505625000000000000e+06,0.000000000000000000e+00,3.040000000000000000e+02
5,13,2.300263166427612305e+00,4.626981735229492188e+01,5.262199448687359791e+02,1.000773906707763672e+00,6.131250000000000000e+06,0.000000000000000000e+00,4.240000000000000000e+02
5,14,3.994476556777954102e+00,2.689092826843261719e+01,5.809877618917588507e+02,1.002050757408142090e+00,6.361875000000000000e+06,1.770000000000000000e+02,2.650000000000000000e+02
5,15,4.011080265045166016e+00,3.282394790649414062e+01,4.930487985048964106e+02,1.001712918281555176e+00,5.557500000000000000e+06,1.290000000000000000e+02,1.700000000000000000e+02
5,16,1.951100707054138184e+00,5.289545059204101562e+01,5.544225130631922411e+02,1.000409603118896484e+00,5.073750000000000000e+06,0.000000000000000000e+00,3.230000000000000000e+02
5,17,2.836636543273925781e+00,8.701338768005371094e+00,4.976303766913080153e+02,1.001027345657348633e+00,1.681875000000000000e+06,1.180000000000000000e+02,9.600000000000000000e+01
6,1,6.184076309204101562e+00,9.841852569580078125e+01,5.508848652623781845e+02,1.004366874694824219e+00,4.978125000000000000e+06,0.000000000000000000e+00,3.200000000000000000e+01
6,2,7.130338191986083984e+00,9.495540618896484375e+01,5.870344305755406822e+02,1.006463885307312012e+00,3.330000000000000000e+06,0.000000000000000000e+00,1.900000000000000000e+01
6,3,6.439617633819580078e+00,8.291433715820312500e+01,8.942564112515857460e+02,1.004114747047424316e+00,2.981250000000000000e+06,0.000000000000000000e+00,3.000000000000000000e+00
6,4,6.327260971069335938e+00,5.461475753784179688e+01,6.086486363369639321e+02,1.003234505653381348e+00,1.867500000000000000e+06,0.000000000000000000e+00,1.700000000000000000e+01
6,5,8.328181266784667969e+00,5.122622299194335938e+01,4.569052104026322922e+02,1.006276607513427734e+00,4.612500000000000000e+06,0.000000000000000000e+00,3.000000000000000000e+01
6,6,3.591431140899658203e+00,3.737974548339843750e+01,5.592566104228606036e+02,1.001037359237670898e+00,3.583125000000000000e+06,0.000000000000000000e+00,9.000000000000000000e+01
6,7,4.112872123718261719e+00,3.670613861083984375e+01,4.943695187610221069e+02,1.001427173614501953e+00,2.840625000000000000e+06,0.000000000000000000e+00,2.600000000000000000e+01
6,8,3.898966312408447266e+00,2.962891387939453125e+01,5.205259079281678396e+02,1.001260757446289062e+00,3.054375000000000000e+06,8.000000000000000000e+00,1.000000000000000000e+02
6,9,3.919119119644165039e+00,2.276568603515625000e+01,6.982595019704885999e+02,1.002494931221008301e+00,4.786875000000000000e+06,1.740000000000000000e+02,1.910000000000000000e+02
6,10,4.590737819671630859e+00,2.876813697814941406e+01,7.595425402253111997e+02,1.002701997756958008e+00,2.778750000000000000e+06,1.030000000000000000e+02,7.600000000000000000e+01
6,11,6.828541755676269531e+00,7.618154907226562500e+01,5.504938414293693540e+02,1.007091641426086426e+00,2.941875000000000000e+06,2.500000000000000000e+01,5.400000000000000000e+01
6,12,2.562555313110351562e+00,2.174891853332519531e+01,5.688563966176556050e+02,1.000614285469055176e+00,8.325000000000000000e+06,2.960000000000000000e+02,4.180000000000000000e+02
6,13,5.302608966827392578e+00,4.304696273803710938e+01,6.718875968933183458e+02,1.004053473472595215e+00,4.905000000000000000e+06,2.000000000000000000e+02,2.070000000000000000e+02
6,14,1.651102900505065918e+00,1.002031421661376953e+01,5.430433374542965339e+02,1.000491023063659668e+00,1.788750000000000000e+06,2.230000000000000000e+02,1.710000000000000000e+02
7,1,3.977760314941406250e+00,9.218506622314453125e+01,7.640356769286696590e+02,1.002239227294921875e+00,3.616875000000000000e+06,0.000000000000000000e+00,4.200000000000000000e+01
7,2,3.248847246170043945e+00,1.046857681274414062e+02,6.332480816192902466e+02,1.001263380050659180e+00,4.741875000000000000e+06,0.000000000000000000e+00,7.700000000000000000e+01
7,3,4.379544734954833984e+00,4.316241073608398438e+01,6.557778047602337210e+02,1.002168536186218262e+00,3.031875000000000000e+06,0.000000000000000000e+00,1.300000000000000000e+01
7,4,4.036082267761230469e+00,5.542250442504882812e+01,5.587807223720695902e+02,1.001840949058532715e+00,7.396875000000000000e+06,0.000000000000000000e+00,1.040000000000000000e+02
7,5,3.771731615066528320e+00,8.063866424560546875e+01,4.125140609666664204e+02,1.001349687576293945e+00,3.026250000000000000e+06,0.000000000000000000e+00,7.700000000000000000e+01
7,6,3.550431013107299805e+00,8.329570007324218750e+01,4.989184461432905664e+02,1.001166582107543945e+00,3.403125000000000000e+06,0.000000000000000000e+00,5.100000000000000000e+01
7,7,4.743644714355468750e+00,6.828270721435546875e+01,5.849752303866188186e+02,1.003102540969848633e+00,4.618125000000000000e+06,0.000000000000000000e+00,4.100000000000000000e+01
7,8,3.917711019515991211e+00,5.842140197753906250e+01,7.094157732976709667e+02,1.001969933509826660e+00,1.445625000000000000e+06,0.000000000000000000e+00,1.900000000000000000e+01
7,9,3.177934885025024414e+00,9.978884887695312500e+01,6.214637899437960868e+02,1.000872492790222168e+00,3.330000000000000000e+06,0.000000000000000000e+00,7.500000000000000000e+01
7,10,5.203262805938720703e+00,3.004422760009765625e+01,5.245573178556876428e+02,1.002939820289611816e+00,2.368125000000000000e+06,4.300000000000000000e+01,5.900000000000000000e+01
8,1,2.320796251296997070e+00,3.728607940673828125e+01,9.518019198631404834e+02,1.000725865364074707e+00,3.301875000000000000e+06,1.000000000000000000e+00,1.960000000000000000e+02
8,2,3.062532901763916016e+00,3.538190078735351562e+01,6.949514364142970635e+02,1.001288414001464844e+00,2.424375000000000000e+06,0.000000000000000000e+00,1.360000000000000000e+02
8,3,3.302194118499755859e+00,4.490103912353515625e+01,6.338546753745698652e+02,1.001132369041442871e+00,1.569375000000000000e+06,0.000000000000000000e+00,9.600000000000000000e+01
8,4,2.402093410491943359e+00,3.442461776733398438e+01,6.220397749372020826e+02,1.000854015350341797e+00,4.432500000000000000e+06,0.000000000000000000e+00,2.830000000000000000e+02
8,5,2.481424570083618164e+00,3.907618331909179688e+01,6.709682136344478067e+02,1.000884175300598145e+00,3.420000000000000000e+06,0.000000000000000000e+00,1.890000000000000000e+02
8,6,2.475054502487182617e+00,5.067601776123046875e+01,8.575437777096628906e+02,1.000540494918823242e+00,4.550625000000000000e+06,0.000000000000000000e+00,1.000000000000000000e+02
8,7,2.082400083541870117e+00,4.280023574829101562e+01,5.322251702220198695e+02,1.000498771667480469e+00,2.340000000000000000e+06,0.000000000000000000e+00,1.980000000000000000e+02
8,8,2.354072809219360352e+00,1.558324718475341797e+01,5.474314767456882009e+02,1.000817060470581055e+00,3.605625000000000000e+06,1.230000000000000000e+02,2.330000000000000000e+02
9,1,2.464730501174926758e+00,4.844042205810546875e+01,7.871750939310536523e+02,1.000802159309387207e+00,1.018125000000000000e+07,0.000000000000000000e+00,3.850000000000000000e+02
9,2,2.030856132507324219e+00,4.937967681884765625e+01,6.980329844152761325e+02,1.000502347946166992e+00,3.847500000000000000e+06,0.000000000000000000e+00,2.240000000000000000e+02
9,3,2.405097723007202148e+00,4.061730194091796875e+01,5.922005284418492010e+02,1.000530481338500977e+00,7.346250000000000000e+06,0.000000000000000000e+00,3.330000000000000000e+02
9,4,1.964260220527648926e+00,3.907894897460937500e+01,5.990793923981492526e+02,1.000411987304687500e+00,4.168125000000000000e+06,0.000000000000000000e+00,2.130000000000000000e+02
9,5,2.691707611083984375e+00,4.173630523681640625e+01,6.815843423628018627e+02,1.000649333000183105e+00,4.848750000000000000e+06,0.000000000000000000e+00,1.040000000000000000e+02
9,6,2.001133441925048828e+00,5.885564422607421875e+01,6.899328510875022857e+02,1.001041769981384277e+00,4.235625000000000000e+06,0.000000000000000000e+00,2.910000000000000000e+02
9,7,1.960791110992431641e+00,4.987580871582031250e+01,8.947159958838726652e+02,1.000344514846801758e+00,1.046250000000000000e+06,0.000000000000000000e+00,2.100000000000000000e+01
9,8,2.260278701782226562e+00,4.518702316284179688e+01,5.926297156016620420e+02,1.000673174858093262e+00,1.777500000000000000e+06,0.000000000000000000e+00,8.300000000000000000e+01
9,9,2.571021080017089844e+00,5.139904403686523438e+01,6.206274647348316194e+02,1.000734686851501465e+00,3.543750000000000000e+06,0.000000000000000000e+00,1.320000000000000000e+02
9,10,3.182148694992065430e+00,4.657228851318359375e+01,8.015917560798072827e+02,1.001037240028381348e+00,1.400625000000000000e+06,0.000000000000000000e+00,2.400000000000000000e+01
9,11,3.016658306121826172e+00,5.193274688720703125e+01,7.053400542462591147e+02,1.001063585281372070e+00,1.923750000000000000e+06,0.000000000000000000e+00,1.200000000000000000e+01
9,12,4.097305297851562500e+00,4.372950744628906250e+01,6.627160210669387652e+02,1.001586556434631348e+00,2.058750000000000000e+06,0.000000000000000000e+00,2.700000000000000000e+01
9,13,2.968202829360961914e+00,6.120009613037109375e+01,6.222030771612004401e+02,1.000962257385253906e+00,1.166625000000000000e+07,0.000000000000000000e+00,3.130000000000000000e+02
9,14,2.751230239868164062e+00,5.807173919677734375e+01,5.887187907923986359e+02,1.001193761825561523e+00,2.587500000000000000e+06,0.000000000000000000e+00,7.600000000000000000e+01
9,15,1.740261435508728027e+00,6.798293304443359375e+01,8.710289480036715304e+02,1.000329136848449707e+00,1.878750000000000000e+06,0.000000000000000000e+00,9.300000000000000000e+01
9,16,3.119881868362426758e+00,6.803491973876953125e+01,8.535412673170662856e+02,1.003646373748779297e+00,3.206250000000000000e+06,0.000000000000000000e+00,1.170000000000000000e+02
9,17,3.916445493698120117e+00,5.690232086181640625e+01,6.708703232254408704e+02,1.001549005508422852e+00,6.063750000000000000e+06,0.000000000000000000e+00,5.800000000000000000e+01
9,18,2.979452848434448242e+00,4.911378860473632812e+01,5.696074498221780686e+02,1.001053810119628906e+00,2.733750000000000000e+06,0.000000000000000000e+00,1.270000000000000000e+02
9,19,2.276760339736938477e+00,5.422041702270507812e+01,4.657964711544319130e+02,1.000442981719970703e+00,2.424375000000000000e+06,0.000000000000000000e+00,2.060000000000000000e+02
9,20,2.718198299407958984e+00,5.940346527099609375e+01,6.683180634394785784e+02,1.000547766685485840e+00,2.272500000000000000e+06,0.000000000000000000e+00,1.150000000000000000e+02
9,21,2.634376287460327148e+00,5.733471298217773438e+01,1.173778064859402775e+03,1.000495672225952148e+00,2.171250000000000000e+06,0.000000000000000000e+00,5.500000000000000000e+01
9,22,2.511166334152221680e+00,6.885338592529296875e+01,5.901623942582174323e+02,1.000477671623229980e+00,3.740625000000000000e+06,0.000000000000000000e+00,1.130000000000000000e+02
9,23,2.039532184600830078e+00,6.069809722900390625e+01,7.555209740210440259e+02,1.000357389450073242e+00,4.421250000000000000e+06,0.000000000000000000e+00,2.480000000000000000e+02
9,24,2.453231573104858398e+00,8.339934539794921875e+01,5.624539008378028484e+02,1.000447511672973633e+00,4.280625000000000000e+06,0.000000000000000000e+00,1.970000000000000000e+02
9,25,2.334682941436767578e+00,7.526909637451171875e+01,1.039631699483375314e+03,1.000447392463684082e+00,3.003750000000000000e+06,0.000000000000000000e+00,7.200000000000000000e+01
9,26,3.063689231872558594e+00,7.753259277343750000e+01,8.810625936871399517e+02,1.000689148902893066e+00,3.796875000000000000e+06,0.000000000000000000e+00,1.270000000000000000e+02
9,27,3.525686979293823242e+00,7.370208740234375000e+01,5.156700793585542897e+02,1.001121401786804199e+00,2.160000000000000000e+06,0.000000000000000000e+00,7.500000000000000000e+01
