Site;Rate;H Error;Satured Zone Area;Vulnerability Sum;Vulnerability Rate;Global Area of site (in cells)
1.0;1.0;0.0;10373;10398.720357005725;0.2960405499346844;35126
1.0;2.0;0.0038793230649175;10373;10398.720357005725;0.2960405499346844;35126
1.0;7.0;0.0162088957219168;10373;10398.720357005725;0.2960405499346844;35126
1.0;15.0;0.0259828282694254;10373;10398.720357005725;0.2960405499346844;35126
1.0;21.0;0.0319767968742023;10373;10398.720357005725;0.2960405499346844;35126
1.0;30.0;0.0425305241829691;10373;10398.720357005725;0.2960405499346844;35126
1.0;45.0;0.0589360085450578;10373;10398.720357005725;0.2960405499346844;35126
1.0;50.0;0.0641227286941075;10373;10398.720357005725;0.2960405499346844;35126
1.0;60.0;0.0759114644001612;10373;10398.720357005725;0.2960405499346844;35126
1.0;75.0;0.0850912692667235;10373;10398.720357005725;0.2960405499346844;35126
1.0;90.0;0.1054010146558668;10373;10398.720357005725;0.2960405499346844;35126
1.0;100.0;0.1080604821071567;10373;10398.720357005725;0.2960405499346844;35126
1.0;125.0;0.1334471376761859;10373;10398.720357005725;0.2960405499346844;35126
1.0;150.0;0.1531843987217754;10373;10398.720357005725;0.2960405499346844;35126
1.0;182.0;0.193913249256011;10373;10398.720357005725;0.2960405499346844;35126
1.0;200.0;0.1821149172354826;10373;10398.720357005725;0.2960405499346844;35126
1.0;250.0;0.2259141665346465;10373;10398.720357005725;0.2960405499346844;35126
1.0;300.0;0.2414259499518798;10373;10398.720357005725;0.2960405499346844;35126
1.0;330.0;0.2314316881540319;10373;10398.720357005725;0.2960405499346844;35126
1.0;365.0;0.2364798653552871;10373;10398.720357005725;0.2960405499346844;35126
1.0;550.0;0.2900564304779044;10373;10398.720357005725;0.2960405499346844;35126
1.0;640.0;0.2850541505936022;10373;10398.720357005725;0.2960405499346844;35126
1.0;730.0;0.3066294603669017;10373;10398.720357005725;0.2960405499346844;35126
1.0;1000.0;0.3014701118256105;10373;10398.720357005725;0.2960405499346844;35126
1.0;1500.0;0.3406870273708929;10373;10398.720357005725;0.2960405499346844;35126
1.0;2000.0;0.3721021215926988;10373;10398.720357005725;0.2960405499346844;35126
1.0;2250.0;0.3718740962113506;10373;10398.720357005725;0.2960405499346844;35126
1.0;3000.0;0.4106378809215129;10373;10398.720357005725;0.2960405499346844;35126
1.0;3182.0;0.4190915847552413;10373;10398.720357005725;0.2960405499346844;35126
1.0;3652.0;0.4135006551951883;10373;10398.720357005725;0.2960405499346844;35126
3.0;1.0;0.0;8700;8744.7282976493;0.2512852959094626;34800
3.0;2.0;0.0037050268572391;8700;8744.7282976493;0.2512852959094626;34800
3.0;7.0;0.015395923499432;8700;8744.7282976493;0.2512852959094626;34800
3.0;15.0;0.0247068749615544;8700;8744.7282976493;0.2512852959094626;34800
3.0;21.0;0.0298742911367728;8700;8744.7282976493;0.2512852959094626;34800
3.0;30.0;0.0404493979934081;8700;8744.7282976493;0.2512852959094626;34800
3.0;45.0;0.0572461092776707;8700;8744.7282976493;0.2512852959094626;34800
3.0;50.0;0.0631284603041809;8700;8744.7282976493;0.2512852959094626;34800
3.0;60.0;0.074938125136267;8700;8744.7282976493;0.2512852959094626;34800
3.0;75.0;0.0829605078650181;8700;8744.7282976493;0.2512852959094626;34800
3.0;90.0;0.1027571012342629;8700;8744.7282976493;0.2512852959094626;34800
3.0;100.0;0.1047504451817718;8700;8744.7282976493;0.2512852959094626;34800
3.0;125.0;0.1290618985073051;8700;8744.7282976493;0.2512852959094626;34800
3.0;150.0;0.143212282321829;8700;8744.7282976493;0.2512852959094626;34800
3.0;182.0;0.1874998532504132;8700;8744.7282976493;0.2512852959094626;34800
3.0;200.0;0.1694793974994916;8700;8744.7282976493;0.2512852959094626;34800
3.0;250.0;0.2144490685793272;8700;8744.7282976493;0.2512852959094626;34800
3.0;300.0;0.2277600513216024;8700;8744.7282976493;0.2512852959094626;34800
3.0;330.0;0.2165729030477833;8700;8744.7282976493;0.2512852959094626;34800
3.0;365.0;0.2184592788548915;8700;8744.7282976493;0.2512852959094626;34800
3.0;550.0;0.2559886711365289;8700;8744.7282976493;0.2512852959094626;34800
3.0;640.0;0.255595994638107;8700;8744.7282976493;0.2512852959094626;34800
3.0;730.0;0.2706465721432402;8700;8744.7282976493;0.2512852959094626;34800
3.0;1000.0;0.2693321170881353;8700;8744.7282976493;0.2512852959094626;34800
3.0;1500.0;0.2990277063965513;8700;8744.7282976493;0.2512852959094626;34800
3.0;2000.0;0.3139670065449404;8700;8744.7282976493;0.2512852959094626;34800
3.0;2250.0;0.3223943844580074;8700;8744.7282976493;0.2512852959094626;34800
3.0;3000.0;0.3507373352100968;8700;8744.7282976493;0.2512852959094626;34800
3.0;3182.0;0.3469880273256615;8700;8744.7282976493;0.2512852959094626;34800
3.0;3652.0;0.3404824929883649;8700;8744.7282976493;0.2512852959094626;34800
4.0;1.0;0.0;1197;1198.4612599941795;0.228365331553769;5248
4.0;2.0;0.0029038378128997;1197;1198.4612599941795;0.228365331553769;5248
4.0;7.0;0.0135430090036463;1197;1198.4612599941795;0.228365331553769;5248
4.0;15.0;0.0176096892067354;1197;1198.4612599941795;0.228365331553769;5248
4.0;21.0;0.0241526308023985;1197;1198.4612599941795;0.228365331553769;5248
4.0;30.0;0.0343745209691433;1197;1198.4612599941795;0.228365331553769;5248
4.0;45.0;0.0552578951093874;1197;1198.4612599941795;0.228365331553769;5248
4.0;50.0;0.0633693474709858;1197;1198.4612599941795;0.228365331553769;5248
4.0;60.0;0.0777451642775314;1197;1198.4612599941795;0.228365331553769;5248
4.0;75.0;0.0982052033382978;1197;1198.4612599941795;0.228365331553769;5248
4.0;90.0;0.1283290709635083;1197;1198.4612599941795;0.228365331553769;5248
4.0;100.0;0.1114075886098514;1197;1198.4612599941795;0.228365331553769;5248
4.0;125.0;0.163197903996308;1197;1198.4612599941795;0.228365331553769;5248
4.0;150.0;0.2115850379860203;1197;1198.4612599941795;0.228365331553769;5248
4.0;182.0;0.2632623530631015;1197;1198.4612599941795;0.228365331553769;5248
4.0;200.0;0.2635262721431864;1197;1198.4612599941795;0.228365331553769;5248
4.0;250.0;0.3387741161680692;1197;1198.4612599941795;0.228365331553769;5248
4.0;300.0;0.3495337236515923;1197;1198.4612599941795;0.228365331553769;5248
4.0;330.0;0.3409660000075389;1197;1198.4612599941795;0.228365331553769;5248
4.0;365.0;0.3843631902014273;1197;1198.4612599941795;0.228365331553769;5248
4.0;550.0;0.5836783375700465;1197;1198.4612599941795;0.228365331553769;5248
4.0;640.0;0.483693769577769;1197;1198.4612599941795;0.228365331553769;5248
4.0;730.0;0.5794391772227295;1197;1198.4612599941795;0.228365331553769;5248
4.0;1000.0;0.5548697726921938;1197;1198.4612599941795;0.228365331553769;5248
4.0;1500.0;0.6757811779470352;1197;1198.4612599941795;0.228365331553769;5248
4.0;2000.0;0.7862158835108852;1197;1198.4612599941795;0.228365331553769;5248
4.0;2250.0;0.6778876044805521;1197;1198.4612599941795;0.228365331553769;5248
4.0;3000.0;0.7616394930317648;1197;1198.4612599941795;0.228365331553769;5248
4.0;3182.0;0.8001242609465113;1197;1198.4612599941795;0.228365331553769;5248
4.0;3652.0;0.784027044277768;1197;1198.4612599941795;0.228365331553769;5248
7.0;1.0;0.0;2149;2157.4158180739905;0.153421690945384;14062
7.0;2.0;0.0030580677191298;2149;2157.4158180739905;0.153421690945384;14062
7.0;7.0;0.0148834131981546;2149;2157.4158180739905;0.153421690945384;14062
7.0;15.0;0.0215394103842606;2149;2157.4158180739905;0.153421690945384;14062
7.0;21.0;0.0241524142781613;2149;2157.4158180739905;0.153421690945384;14062
7.0;30.0;0.0316583333666094;2149;2157.4158180739905;0.153421690945384;14062
7.0;45.0;0.0451398224983757;2149;2157.4158180739905;0.153421690945384;14062
7.0;50.0;0.048759907806012;2149;2157.4158180739905;0.153421690945384;14062
7.0;60.0;0.0589905795479446;2149;2157.4158180739905;0.153421690945384;14062
7.0;75.0;0.0675783894922642;2149;2157.4158180739905;0.153421690945384;14062
7.0;90.0;0.086542647569335;2149;2157.4158180739905;0.153421690945384;14062
7.0;100.0;0.0904205207984803;2149;2157.4158180739905;0.153421690945384;14062
7.0;125.0;0.1136800812151878;2149;2157.4158180739905;0.153421690945384;14062
7.0;150.0;0.1344790475560377;2149;2157.4158180739905;0.153421690945384;14062
7.0;182.0;0.1821309914129173;2149;2157.4158180739905;0.153421690945384;14062
7.0;200.0;0.1615247634280897;2149;2157.4158180739905;0.153421690945384;14062
7.0;250.0;0.2107351731687922;2149;2157.4158180739905;0.153421690945384;14062
7.0;300.0;0.2281378727600592;2149;2157.4158180739905;0.153421690945384;14062
7.0;330.0;0.217848306760813;2149;2157.4158180739905;0.153421690945384;14062
7.0;365.0;0.2199584496227709;2149;2157.4158180739905;0.153421690945384;14062
7.0;550.0;0.2663518283578356;2149;2157.4158180739905;0.153421690945384;14062
7.0;640.0;0.3082271350654137;2149;2157.4158180739905;0.153421690945384;14062
7.0;730.0;0.2874353576477332;2149;2157.4158180739905;0.153421690945384;14062
7.0;1000.0;0.2831099833434623;2149;2157.4158180739905;0.153421690945384;14062
7.0;1500.0;0.3139048393063646;2149;2157.4158180739905;0.153421690945384;14062
7.0;2000.0;0.3626349146867626;2149;2157.4158180739905;0.153421690945384;14062
7.0;2250.0;0.3876151338254222;2149;2157.4158180739905;0.153421690945384;14062
7.0;3000.0;0.4445616320493717;2149;2157.4158180739905;0.153421690945384;14062
7.0;3182.0;0.4465673311112902;2149;2157.4158180739905;0.153421690945384;14062
7.0;3652.0;0.4438459728656725;2149;2157.4158180739905;0.153421690945384;14062
8.0;1.0;0.0;4563;4571.162962892292;0.1912620486565812;23900
8.0;2.0;0.0024292213964008;4563;4571.162962892292;0.1912620486565812;23900
8.0;7.0;0.0098897397031194;4563;4571.162962892292;0.1912620486565812;23900
8.0;15.0;0.0155699495178959;4563;4571.162962892292;0.1912620486565812;23900
8.0;21.0;0.0205921143023982;4563;4571.162962892292;0.1912620486565812;23900
8.0;30.0;0.0261748518897128;4563;4571.162962892292;0.1912620486565812;23900
8.0;45.0;0.0370042592729786;4563;4571.162962892292;0.1912620486565812;23900
8.0;50.0;0.0411498392865107;4563;4571.162962892292;0.1912620486565812;23900
8.0;60.0;0.0492114794156571;4563;4571.162962892292;0.1912620486565812;23900
8.0;75.0;0.0551663282849413;4563;4571.162962892292;0.1912620486565812;23900
8.0;90.0;0.0692507301025263;4563;4571.162962892292;0.1912620486565812;23900
8.0;100.0;0.0671801751349022;4563;4571.162962892292;0.1912620486565812;23900
8.0;125.0;0.0867459868794762;4563;4571.162962892292;0.1912620486565812;23900
8.0;150.0;0.1005145086384872;4563;4571.162962892292;0.1912620486565812;23900
8.0;182.0;0.1350018125779318;4563;4571.162962892292;0.1912620486565812;23900
8.0;200.0;0.1208756437345863;4563;4571.162962892292;0.1912620486565812;23900
8.0;250.0;0.1569619144352859;4563;4571.162962892292;0.1912620486565812;23900
8.0;300.0;0.1632286421426053;4563;4571.162962892292;0.1912620486565812;23900
8.0;330.0;0.1660540117796344;4563;4571.162962892292;0.1912620486565812;23900
8.0;365.0;0.1669176491637847;4563;4571.162962892292;0.1912620486565812;23900
8.0;550.0;0.2280712151792872;4563;4571.162962892292;0.1912620486565812;23900
