Site;Rate;H Error;Slope;Elevation;LC;CW;Area
1.0;1.0;0.0;0.017383;14.031;1575.0;2.2527;57077000.0
1.0;2.0;0.0038793230649175;0.017383;14.031;1575.0;2.2527;57077000.0
1.0;7.0;0.0162088957219168;0.017383;14.031;1575.0;2.2527;57077000.0
1.0;30.0;0.0425305241829691;0.017383;14.031;1575.0;2.2527;57077000.0
1.0;90.0;0.1054010146558668;0.017383;14.031;1575.0;2.2527;57077000.0
1.0;182.0;0.193913249256011;0.017383;14.031;1575.0;2.2527;57077000.0
1.0;365.0;0.2364798653552871;0.017383;14.031;1575.0;2.2527;57077000.0
1.0;730.0;0.3066294603669017;0.017383;14.031;1575.0;2.2527;57077000.0
1.0;3652.0;0.4135006551951883;0.017383;14.031;1575.0;2.2527;57077000.0
2.0;1.0;0.0;0.0029846;8.0214;1725.0;2.2279;16571000.0
2.0;2.0;0.0024436471432086;0.0029846;8.0214;1725.0;2.2279;16571000.0
2.0;7.0;0.0100550818986154;0.0029846;8.0214;1725.0;2.2279;16571000.0
2.0;30.0;0.0266639212930479;0.0029846;8.0214;1725.0;2.2279;16571000.0
2.0;90.0;0.0681692089993866;0.0029846;8.0214;1725.0;2.2279;16571000.0
2.0;182.0;0.1240271398199594;0.0029846;8.0214;1725.0;2.2279;16571000.0
2.0;365.0;0.1477079402484747;0.0029846;8.0214;1725.0;2.2279;16571000.0
2.0;730.0;0.1872937575247316;0.0029846;8.0214;1725.0;2.2279;16571000.0
2.0;3652.0;0.2417057915520439;0.0029846;8.0214;1725.0;2.2279;16571000.0
3.0;1.0;0.0;0.00057374;10.704;1425.0;2.0877;20256000.0
3.0;2.0;0.0037050268572391;0.00057374;10.704;1425.0;2.0877;20256000.0
3.0;7.0;0.015395923499432;0.00057374;10.704;1425.0;2.0877;20256000.0
3.0;30.0;0.0404493979934081;0.00057374;10.704;1425.0;2.0877;20256000.0
3.0;90.0;0.1027571012342629;0.00057374;10.704;1425.0;2.0877;20256000.0
3.0;182.0;0.1874998532504132;0.00057374;10.704;1425.0;2.0877;20256000.0
3.0;365.0;0.2184592788548915;0.00057374;10.704;1425.0;2.0877;20256000.0
3.0;730.0;0.2706465721432402;0.00057374;10.704;1425.0;2.0877;20256000.0
3.0;3652.0;0.3404824929883649;0.00057374;10.704;1425.0;2.0877;20256000.0
4.0;1.0;0.0;0.023758;11.237;1425.0;2.5802;5203100.0
4.0;2.0;0.0029038378128997;0.023758;11.237;1425.0;2.5802;5203100.0
4.0;7.0;0.0135430090036463;0.023758;11.237;1425.0;2.5802;5203100.0
4.0;30.0;0.0343745209691433;0.023758;11.237;1425.0;2.5802;5203100.0
4.0;90.0;0.1283290709635083;0.023758;11.237;1425.0;2.5802;5203100.0
4.0;182.0;0.2632623530631015;0.023758;11.237;1425.0;2.5802;5203100.0
4.0;365.0;0.3843631902014273;0.023758;11.237;1425.0;2.5802;5203100.0
4.0;730.0;0.5794391772227295;0.023758;11.237;1425.0;2.5802;5203100.0
4.0;3652.0;0.784027044277768;0.023758;11.237;1425.0;2.5802;5203100.0
6.0;1.0;0.0;0.036538;12.06;1425.0;2.4961;20902000.0
6.0;2.0;0.0032206439689154;0.036538;12.06;1425.0;2.4961;20902000.0
6.0;7.0;0.0131985855861548;0.036538;12.06;1425.0;2.4961;20902000.0
6.0;30.0;0.0352018987493894;0.036538;12.06;1425.0;2.4961;20902000.0
6.0;90.0;0.0805447502647162;0.036538;12.06;1425.0;2.4961;20902000.0
6.0;182.0;0.1420184155417079;0.036538;12.06;1425.0;2.4961;20902000.0
6.0;365.0;0.1622019124236216;0.036538;12.06;1425.0;2.4961;20902000.0
6.0;730.0;0.1886275265653157;0.036538;12.06;1425.0;2.4961;20902000.0
6.0;3652.0;0.2204814325790526;0.036538;12.06;1425.0;2.4961;20902000.0
7.0;1.0;0.0;0.017869;37.15;1350.0;2.1056;27810000.0
7.0;2.0;0.0030580677191298;0.017869;37.15;1350.0;2.1056;27810000.0
7.0;7.0;0.0148834131981546;0.017869;37.15;1350.0;2.1056;27810000.0
7.0;30.0;0.0316583333666094;0.017869;37.15;1350.0;2.1056;27810000.0
7.0;90.0;0.086542647569335;0.017869;37.15;1350.0;2.1056;27810000.0
7.0;182.0;0.1821309914129173;0.017869;37.15;1350.0;2.1056;27810000.0
7.0;365.0;0.2199584496227709;0.017869;37.15;1350.0;2.1056;27810000.0
7.0;730.0;0.2874353576477332;0.017869;37.15;1350.0;2.1056;27810000.0
7.0;3652.0;0.4438459728656725;0.017869;37.15;1350.0;2.1056;27810000.0
8.0;1.0;0.0;0.021748;6.9778;1650.0;2.0095;5220000.0
8.0;2.0;0.0024292213964008;0.021748;6.9778;1650.0;2.0095;5220000.0
8.0;7.0;0.0098897397031194;0.021748;6.9778;1650.0;2.0095;5220000.0
8.0;30.0;0.0261748518897128;0.021748;6.9778;1650.0;2.0095;5220000.0
8.0;90.0;0.0692507301025263;0.021748;6.9778;1650.0;2.0095;5220000.0
8.0;182.0;0.1350018125779318;0.021748;6.9778;1650.0;2.0095;5220000.0
8.0;365.0;0.1669176491637847;0.021748;6.9778;1650.0;2.0095;5220000.0
8.0;730.0;0.2290698705623457;0.021748;6.9778;1650.0;2.0095;5220000.0
8.0;3652.0;0.2988454033579271;0.021748;6.9778;1650.0;2.0095;5220000.0
10.0;1.0;0.0;0.0048044;15.404;1575.0;1.5889;57802000.0
10.0;2.0;0.0036961359926021;0.0048044;15.404;1575.0;1.5889;57802000.0
10.0;7.0;0.0149153057926668;0.0048044;15.404;1575.0;1.5889;57802000.0
10.0;30.0;0.0396167202369016;0.0048044;15.404;1575.0;1.5889;57802000.0
10.0;90.0;0.0915538363720714;0.0048044;15.404;1575.0;1.5889;57802000.0
10.0;182.0;0.1694940808176965;0.0048044;15.404;1575.0;1.5889;57802000.0
10.0;365.0;0.1919192240305992;0.0048044;15.404;1575.0;1.5889;57802000.0
10.0;730.0;0.2219972819663322;0.0048044;15.404;1575.0;1.5889;57802000.0
10.0;3652.0;0.277418471559083;0.0048044;15.404;1575.0;1.5889;57802000.0
11.0;1.0;0.0;0.0054417;13.099;1650.0;2.9142;32676000.0
11.0;2.0;0.0019370712288229;0.0054417;13.099;1650.0;2.9142;32676000.0
11.0;7.0;0.007095871537476;0.0054417;13.099;1650.0;2.9142;32676000.0
11.0;30.0;0.020072089411818;0.0054417;13.099;1650.0;2.9142;32676000.0
11.0;90.0;0.0435498926878454;0.0054417;13.099;1650.0;2.9142;32676000.0
11.0;182.0;0.0809120145894057;0.0054417;13.099;1650.0;2.9142;32676000.0
11.0;365.0;0.1027263425009789;0.0054417;13.099;1650.0;2.9142;32676000.0
11.0;730.0;0.1622678540420822;0.0054417;13.099;1650.0;2.9142;32676000.0
11.0;3652.0;0.2201414820862259;0.0054417;13.099;1650.0;2.9142;32676000.0
12.0;1.0;0.0;0.041692;15.048;1425.0;2.0142;95816000.0
12.0;2.0;0.0031172366230168;0.041692;15.048;1425.0;2.0142;95816000.0
12.0;7.0;0.0119980742691852;0.041692;15.048;1425.0;2.0142;95816000.0
12.0;30.0;0.0336530456759948;0.041692;15.048;1425.0;2.0142;95816000.0
12.0;90.0;0.0730083632551525;0.041692;15.048;1425.0;2.0142;95816000.0
12.0;182.0;0.1222048385002407;0.041692;15.048;1425.0;2.0142;95816000.0
12.0;365.0;0.1401841306625733;0.041692;15.048;1425.0;2.0142;95816000.0
12.0;730.0;0.1678353858801527;0.041692;15.048;1425.0;2.0142;95816000.0
12.0;3652.0;0.2076715457193804;0.041692;15.048;1425.0;2.0142;95816000.0
13.0;1.0;0.0;0.017;7.6422;1650.0;2.9322;15452000.0
13.0;2.0;0.0022063438684162;0.017;7.6422;1650.0;2.9322;15452000.0
13.0;7.0;0.0079049822077504;0.017;7.6422;1650.0;2.9322;15452000.0
13.0;30.0;0.021215598309817;0.017;7.6422;1650.0;2.9322;15452000.0
13.0;90.0;0.0459743068795799;0.017;7.6422;1650.0;2.9322;15452000.0
13.0;182.0;0.0731496298288549;0.017;7.6422;1650.0;2.9322;15452000.0
13.0;365.0;0.0799346362186648;0.017;7.6422;1650.0;2.9322;15452000.0
13.0;730.0;0.0884871835852028;0.017;7.6422;1650.0;2.9322;15452000.0
13.0;3652.0;0.0993700430118872;0.017;7.6422;1650.0;2.9322;15452000.0
14.0;1.0;0.0;0.018148;40.589;1425.0;1.7481;52751000.0
14.0;2.0;0.0025659666410965;0.018148;40.589;1425.0;1.7481;52751000.0
14.0;7.0;0.0103738358831147;0.018148;40.589;1425.0;1.7481;52751000.0
14.0;30.0;0.0275341640025388;0.018148;40.589;1425.0;1.7481;52751000.0
14.0;90.0;0.0669928669115922;0.018148;40.589;1425.0;1.7481;52751000.0
14.0;182.0;0.1215173863507666;0.018148;40.589;1425.0;1.7481;52751000.0
14.0;365.0;0.1425932016706186;0.018148;40.589;1425.0;1.7481;52751000.0
14.0;730.0;0.1853542925340359;0.018148;40.589;1425.0;1.7481;52751000.0
14.0;3652.0;0.2711404842844023;0.018148;40.589;1425.0;1.7481;52751000.0
15.0;1.0;0.0;0.026241;19.189;1500.0;3.2359;4303100.0
15.0;2.0;0.006634684505364;0.026241;19.189;1500.0;3.2359;4303100.0
15.0;7.0;0.0311773625577056;0.026241;19.189;1500.0;3.2359;4303100.0
15.0;30.0;0.0825331753189077;0.026241;19.189;1500.0;3.2359;4303100.0
15.0;90.0;0.2366167660152137;0.026241;19.189;1500.0;3.2359;4303100.0
15.0;182.0;0.4957286907657203;0.026241;19.189;1500.0;3.2359;4303100.0
15.0;365.0;0.5986284345185184;0.026241;19.189;1500.0;3.2359;4303100.0
15.0;730.0;0.7549130005430196;0.026241;19.189;1500.0;3.2359;4303100.0
15.0;3652.0;1.1253996205961938;0.026241;19.189;1500.0;3.2359;4303100.0
16.0;1.0;0.0;0.028223;29.454;1725.0;2.3301;81242000.0
16.0;2.0;0.0031220060443771;0.028223;29.454;1725.0;2.3301;81242000.0
16.0;7.0;0.0119243259775783;0.028223;29.454;1725.0;2.3301;81242000.0
16.0;30.0;0.0353137113675942;0.028223;29.454;1725.0;2.3301;81242000.0
16.0;90.0;0.0895169299721877;0.028223;29.454;1725.0;2.3301;81242000.0
