Site;SubCatch;Rate;H Error
2;1.0;1;0.0
2;1.0;2;0.0035488748873556
2;1.0;7;0.0145161857993225
2;1.0;15;0.0238461433740375
2;1.0;21;0.0283809332059858
2;1.0;30;0.0378764562954786
2;1.0;45;0.0535243962933258
2;1.0;50;0.0580842318211802
2;1.0;60;0.0672762843754803
2;1.0;75;0.0747725524933576
2;1.0;90;0.0911190426180191
2;1.0;100;0.0971536388509971
2;1.0;125;0.1160861207969284
2;1.0;150;0.1261572186090801
2;1.0;182;0.1630634463828472
2;1.0;200;0.150892803627373
2;1.0;250;0.1805837478490918
2;1.0;300;0.1928280983634314
2;1.0;330;0.1861021579631532
2;1.0;365;0.1863834863359162
2;1.0;550;0.2225834358610914
2;1.0;640;8.77913671378386e-10
2;1.0;730;0.2274710823432675
2;1.0;1000;0.2241029011693989
2;1.0;1500;0.2625660628474502
2;1.0;2000;0.2723840547978873
2;1.0;2250;0.2765792134092664
2;1.0;3000;0.2983163781220735
2;1.0;3182;0.2995772167679857
2;1.0;3652;0.2944728821628192
2;2.0;1;0.0
2;2.0;2;0.0085532176410027
2;2.0;7;0.0388064007461574
2;2.0;15;0.0492584830962717
2;2.0;21;0.0749512864846498
2;2.0;30;0.1097975769701021
2;2.0;45;0.1817363260506319
2;2.0;50;0.2036009632129824
2;2.0;60;0.230774773135439
2;2.0;75;0.300047929570935
2;2.0;90;0.4080204731085328
2;2.0;100;0.3469880680134733
2;2.0;125;0.4892089109358473
2;2.0;150;0.6294340575507982
2;2.0;182;0.722698011235125
2;2.0;200;0.7314887502798982
2;2.0;250;0.905393210876912
2;2.0;300;0.9532114296473978
2;2.0;330;0.9527411635283104
2;2.0;365;1.033131646842377
2;2.0;550;1.5166607078865335
2;2.0;640;8.77913671378386e-10
2;2.0;730;1.4662195155842974
2;2.0;1000;1.4209121799358335
2;2.0;1500;1.6686065630821163
2;2.0;2000;1.864144516207427
2;2.0;2250;1.6776367546733295
2;2.0;3000;1.822544982937894
2;2.0;3182;1.8907755331189544
2;2.0;3652;1.860914612865921
2;3.0;1;0.0
2;3.0;2;0.0057052392540187
2;3.0;7;0.0253595592597897
2;3.0;15;0.0380864854160618
2;3.0;21;0.0507590995742646
2;3.0;30;0.0729474621042251
2;3.0;45;0.0986918961916636
2;3.0;50;0.1120493341801114
2;3.0;60;0.1373087880932955
2;3.0;75;0.1573385831500441
2;3.0;90;0.1941473333641155
2;3.0;100;0.1870159323188717
2;3.0;125;0.2332318369018141
2;3.0;150;0.2711680877109203
2;3.0;182;0.3459715819987425
2;3.0;200;0.2983235737977764
2;3.0;250;0.3782876226043608
2;3.0;300;0.4129372644279206
2;3.0;330;0.4045234071335974
2;3.0;365;0.4195839138732413
2;3.0;550;0.5606832379306189
2;3.0;640;8.77913671378386e-10
2;3.0;730;0.5512057261581222
2;3.0;1000;0.5351757564755473
2;3.0;1500;0.6039309198533759
2;3.0;2000;0.6545482724732
2;3.0;2250;0.6153441913112226
2;3.0;3000;0.6398638357894445
2;3.0;3182;0.6508571878234118
2;3.0;3652;0.6427955651558246
2;4.0;1;0.0
2;4.0;2;0.0006750431919812
2;4.0;7;0.0022975173499961
2;4.0;15;0.0036850884960845
2;4.0;21;0.0045280929088371
2;4.0;30;0.0058053961345371
2;4.0;45;0.0078526315130983
2;4.0;50;0.0081617665617019
2;4.0;60;0.0092741401694268
2;4.0;75;0.0102426780461007
2;4.0;90;0.0122141928311769
2;4.0;100;0.0125991172012859
2;4.0;125;0.0148791514889606
2;4.0;150;0.0159037085814614
2;4.0;182;0.0203637825739111
2;4.0;200;0.0179471396808613
2;4.0;250;0.0216853363285264
2;4.0;300;0.0220867390826461
2;4.0;330;0.0217931781337114
2;4.0;365;0.0224072389338543
2;4.0;550;0.023890130275959
2;4.0;640;8.77913671378386e-10
2;4.0;730;0.0246410342984375
2;4.0;1000;0.0245234097874076
2;4.0;1500;0.0258763448092847
2;4.0;2000;0.026521716361203
2;4.0;2250;0.0260183833402646
2;4.0;3000;0.027190214690992
2;4.0;3182;0.0271943482963633
2;4.0;3652;0.0268670842602532
13;1.0;1;0.0
13;1.0;2;0.00219076618775
13;1.0;7;0.0078209552446462
13;1.0;15;0.0129782741557962
13;1.0;21;0.0161796551222403
13;1.0;30;0.0209638745757345
13;1.0;45;0.0283489567042401
13;1.0;50;0.0299392949472282
13;1.0;60;0.0340205629615259
13;1.0;75;0.0377689370895551
13;1.0;90;0.0446745249151832
13;1.0;100;0.0456831472079395
13;1.0;125;0.0536097388401178
13;1.0;150;0.057150695993032
13;1.0;182;0.0700795822606453
13;1.0;200;0.0630699505932494
13;1.0;250;0.0748477823072199
13;1.0;300;0.0758065065341189
13;1.0;330;0.0743582703139185
13;1.0;365;0.0762418458720259
13;1.0;640;0.0811222693030387
13;1.0;730;0.0843606725548013
13;1.0;1000;0.0843523797328081
13;1.0;1500;0.0897262885185574
13;1.0;2000;0.0927814809629952
13;1.0;2250;0.0908804692631383
13;1.0;3000;0.0958353880527837
13;1.0;3182;0.0965703213203202
13;1.0;3652;0.0952641511758487
13;3.0;1;0.0
13;3.0;2;0.0023793258262669
13;3.0;7;0.0088185243328303
13;3.0;15;0.0144617112689413
13;3.0;21;0.0177823583094564
13;3.0;30;0.0239195253296196
13;3.0;45;0.033723017931682
13;3.0;50;0.0355307471171937
13;3.0;60;0.0415798614951529
13;3.0;75;0.0482847319631216
13;3.0;90;0.058760667827268
13;3.0;100;0.0594812899208005
13;3.0;125;0.0718506187456091
13;3.0;150;0.0811609820641936
13;3.0;182;0.1015729504797356
13;3.0;200;0.0912435663287255
13;3.0;250;0.1067519560644427
13;3.0;300;0.1111121205174678
13;3.0;330;0.1106065735513618
13;3.0;365;0.1135743998005379
13;3.0;550;0.1264492742991236
13;3.0;640;0.120008555535415
13;3.0;730;0.1260533660017292
13;3.0;1000;0.1251892523957435
13;3.0;1500;0.1330726345888737
13;3.0;2000;0.1361223854844396
13;3.0;2250;0.1336637495978854
13;3.0;3000;0.137568413142605
13;3.0;3182;0.1386068224031617
13;3.0;3652;0.1376238017189955
18;4.0;1;0.0
18;4.0;2;0.0016343316961933
18;4.0;7;0.005121275722781
18;4.0;15;0.0083868069408391
18;4.0;21;0.0103401025068759
18;4.0;30;0.013022431319224
18;4.0;45;0.0176016239315654
18;4.0;50;0.0184301129076335
18;4.0;60;0.0207932237891045
18;4.0;75;0.0236715852474286
18;4.0;90;0.0274766933281444
18;4.0;100;0.0298563797653111
18;4.0;125;0.0342707370975021
18;4.0;150;0.0371139385256656
18;4.0;182;0.0455999859724022
18;4.0;200;0.0415799956325019
18;4.0;250;0.0465683986285258
18;4.0;300;0.0475726521968069
18;4.0;330;0.0475380767596782
18;4.0;365;0.0481160170316837
18;4.0;550;0.0489711306387264
18;4.0;640;0.0492713675456951
18;4.0;730;0.0497953805544372
18;4.0;1000;0.0496331938629077
18;4.0;1500;0.0507208499426089
18;4.0;2000;0.0510039715036726
18;4.0;2250;0.0509764643146258
18;4.0;3000;0.0517286126819821
18;4.0;3182;0.0517182968701426
18;4.0;3652;0.0515095706017609
19;1.0;1;0.0
19;1.0;2;0.0073289447235448
19;1.0;7;0.0317318278262551
19;1.0;15;0.0511599176777818
19;1.0;21;0.0639127317564812
19;1.0;30;0.085848031856365
19;1.0;45;0.1183023226848574
19;1.0;50;0.1293777403586426
19;1.0;60;0.14996070871122
19;1.0;75;0.1677909889328119
19;1.0;90;0.1988494275781533
19;1.0;100;0.2116587594839673
19;1.0;125;0.2516823842495139
19;1.0;150;0.2665895441443184
19;1.0;182;0.359745411679045
19;1.0;200;0.3284219364304771
19;1.0;250;0.4131710057604607
19;1.0;300;0.4277802304048977
19;1.0;330;0.4260608191644748
19;1.0;365;0.4254579102738617
19;1.0;550;0.4420165583353603
19;1.0;640;0.446158201430159
19;1.0;730;0.4681799018693393
19;1.0;1000;0.4605499460512642
19;1.0;1500;0.4604427985365247
19;1.0;2000;0.4758290261770238
19;1.0;2250;0.4750769474979179
19;1.0;3000;0.5018182502877142
19;1.0;3182;0.4979303052903883
19;1.0;3652;0.4932405849300914
19;2.0;1;0.0
19;2.0;2;0.0071558985505027
19;2.0;7;0.0309267692467264
19;2.0;15;0.0508305340643887
19;2.0;21;0.0648741903677196
19;2.0;30;0.087639745106709
19;2.0;45;0.1209781296225799
19;2.0;50;0.1339525922447553
19;2.0;60;0.1550438354248147
19;2.0;75;0.1733049859046586
19;2.0;90;0.205911826402876
19;2.0;100;0.2136817395832085
19;2.0;125;0.2548059957743812
19;2.0;150;0.2701172400600154
19;2.0;182;0.3451108524920454
19;2.0;200;0.3210856747445484
19;2.0;250;0.4024951879256262
19;2.0;300;0.410295844345977
19;2.0;330;0.402993003927755
19;2.0;365;0.4082506829503288
19;2.0;550;0.4308517111761194
19;2.0;640;0.4283598843185833
19;2.0;730;0.4493123002907788
19;2.0;1000;0.4472382399252433
19;2.0;1500;0.446993402202724
19;2.0;2000;0.4635402286340518
19;2.0;2250;0.4559492989359328
19;2.0;3000;0.480196072439711
19;2.0;3182;0.4766358890879691
19;2.0;3652;0.4699589938324995
33;3.0;1;0.0
33;3.0;2;0.002018266583456
33;3.0;7;0.0158513354869977
33;3.0;15;0.0247473709961087
33;3.0;21;0.032045776451773
33;3.0;30;0.0429242156019268
33;3.0;45;0.0717676023180196
33;3.0;50;0.002018266583456
33;3.0;60;0.095045016702822
33;3.0;75;0.1123193720876739
33;3.0;90;0.002018266583456
33;3.0;100;0.1459502773655634
33;3.0;125;0.2158527480966787
33;3.0;150;0.2303694728419782
33;3.0;182;0.002018266583456
33;3.0;200;0.2990901927693485
33;3.0;250;0.002018266583456
33;3.0;300;0.4145186801349949
33;3.0;330;0.4125445638484535
33;3.0;365;0.4336311874394405
33;3.0;550;0.5116456175423326
33;3.0;640;0.535145302974108
33;3.0;730;0.5663059644102506
33;3.0;1000;0.5700895387111587
33;3.0;1500;0.002018266583456
33;3.0;2000;0.6773140388836626
33;3.0;2250;0.6169534512497968
33;3.0;3000;0.002018266583456
33;3.0;3182;0.6895633049562712
33;3.0;3652;0.002018266583456
33;2.0;1;0.0
33;2.0;2;0.0028055158001391
33;2.0;7;0.0274390846980751
33;2.0;15;0.0552197068628702
33;2.0;21;0.0586534581822768
33;2.0;30;0.0843838997550839
33;2.0;45;0.1105549850121277
33;2.0;50;0.0028055158001391
33;2.0;60;0.157434749974176
33;2.0;75;0.1787479796283509
33;2.0;90;0.0028055158001391
33;2.0;100;0.2324227886800477
33;2.0;125;0.2902614155436568
33;2.0;150;0.3099218769580117
33;2.0;182;0.0028055158001391
33;2.0;200;0.3427154327562211
33;2.0;250;0.0028055158001391
33;2.0;300;0.4286504099498518
33;2.0;330;0.4230562965257203
33;2.0;365;0.4379233684103368
33;2.0;550;0.4642900120897787
33;2.0;640;0.4603353432385647
33;2.0;730;0.4715741092291864
33;2.0;1000;0.469601184684606
33;2.0;1500;0.0028055158001391
33;2.0;2000;0.4964859182758135
33;2.0;2250;0.4900750902077624
33;2.0;3000;0.0028055158001391
33;2.0;3182;0.503924013609809
33;2.0;3652;0.0028055158001391
33;6.0;1;0.0
33;6.0;2;0.0021696318585008
33;6.0;7;0.0131758162594608
33;6.0;15;0.0224717410951619
33;6.0;21;0.0276353371010799
33;6.0;30;0.0369606031592713
33;6.0;45;0.052420244748887
33;6.0;50;0.0021696318585008
33;6.0;60;0.068160608766446
33;6.0;75;0.0791755754076025
33;6.0;90;0.0021696318585008
33;6.0;100;0.1002146895502733
33;6.0;125;0.1285749047586938
33;6.0;150;0.1453904115694858
33;6.0;182;0.0021696318585008
33;6.0;200;0.1643449442264981
33;6.0;250;0.0021696318585008
33;6.0;300;0.215814664623751
33;6.0;330;0.2114448558669554
33;6.0;365;0.2155664319531962
33;6.0;550;0.2462068981151915
33;6.0;640;0.2383364893118902
33;6.0;730;0.250502530456502
33;6.0;1000;0.2498986187289738
33;6.0;1500;0.0021696318585008
33;6.0;2000;0.2776025727523746
33;6.0;2250;0.2718279991944925
33;6.0;3000;0.0021696318585008
33;6.0;3182;0.2886437210840942
33;6.0;3652;0.0021696318585008
33;7.0;1;0.0
33;7.0;2;0.0024822141967547
33;7.0;7;0.0077755379352878
33;7.0;15;0.0129426656830962
33;7.0;21;0.0150211817890918
33;7.0;30;0.019899778640195
33;7.0;45;0.0278625858696003
33;7.0;50;0.0024822141967547
33;7.0;60;0.034052606059481
33;7.0;75;0.0388106590135119
33;7.0;90;0.0024822141967547
33;7.0;100;0.0509830959635363
33;7.0;125;0.060092280024347
33;7.0;150;0.0667210803070287
33;7.0;182;0.0024822141967547
33;7.0;200;0.0786449400582282
33;7.0;250;0.0024822141967547
33;7.0;300;0.0943827017558551
33;7.0;330;0.0941289567936033
33;7.0;365;0.0940651214389879
33;7.0;550;0.0986162111416833
33;7.0;640;0.0999367057770983
33;7.0;730;0.1022949628701073
33;7.0;1000;0.0999961898535157
33;7.0;1500;0.0024822141967547
33;7.0;2000;0.1085214024355861
33;7.0;2250;0.1090708417017051
33;7.0;3000;0.0024822141967547
33;7.0;3182;0.1162645973610799
33;7.0;3652;0.0024822141967547
33;8.0;1;0.0
33;8.0;2;0.003327302311581
33;8.0;7;0.0153309023791771
33;8.0;15;0.0255553718564104
33;8.0;21;0.0276990739083603
33;8.0;30;0.0379180863690924
33;8.0;45;0.0526645659536264
33;8.0;50;0.003327302311581
33;8.0;60;0.071928127993006
33;8.0;75;0.0857502198430965
33;8.0;90;0.003327302311581
33;8.0;100;0.1057185264838229
33;8.0;125;0.1412393220902128
33;8.0;150;0.178259600022877
33;8.0;182;0.003327302311581
33;8.0;200;0.2158977458757691
33;8.0;250;0.003327302311581
33;8.0;300;0.3391916178761274
33;8.0;330;0.3162396199206224
33;8.0;365;0.336860259786334
33;8.0;550;0.4748785774073499
33;8.0;640;0.4470926985828792
33;8.0;730;0.5048953281477985
33;8.0;1000;0.4863285383482355
33;8.0;1500;0.003327302311581
33;8.0;2000;0.6820666472658603
33;8.0;2250;0.6444865441286269
33;8.0;3000;0.003327302311581
33;8.0;3182;0.7296284432874173
33;8.0;3652;0.003327302311581
33;9.0;1;0.0
33;9.0;2;0.0022826169439025
33;9.0;7;0.0160269418129041
33;9.0;15;0.0271635681685724
33;9.0;21;0.0307501825173861
33;9.0;30;0.0414419683528203
33;9.0;45;0.0581665498197563
33;9.0;50;0.0022826169439025
33;9.0;60;0.0775125351492195
33;9.0;75;0.0907282722362354
33;9.0;90;0.0022826169439025
33;9.0;100;0.1141914675988398
33;9.0;125;0.1601208778607172
33;9.0;150;0.197287520247795
33;9.0;182;0.0022826169439025
33;9.0;200;0.2441395795724711
33;9.0;250;0.0022826169439025
33;9.0;300;0.3550347127917189
33;9.0;330;0.3315547560628523
33;9.0;365;0.3457010977578436
33;9.0;550;0.4507474972011685
33;9.0;640;0.457790973622347
33;9.0;730;0.5081771591771534
33;9.0;1000;0.5017133921143911
33;9.0;1500;0.0022826169439025
33;9.0;2000;0.628616927821856
33;9.0;2250;0.5977686907842579
33;9.0;3000;0.0022826169439025
33;9.0;3182;0.6598407310685352
33;9.0;3652;0.0022826169439025
35;7.0;1;0.0
35;7.0;2;0.0031987985053853
35;7.0;7;0.012919901517453
35;7.0;15;0.0036318529996135
35;7.0;21;0.0267931743849261
35;7.0;30;0.0365060346672665
35;7.0;45;0.050492992503075
35;7.0;50;0.0036318529996135
35;7.0;60;0.0036318529996135
35;7.0;75;0.0732589228339428
35;7.0;90;0.08827861240102
35;7.0;100;0.0900544503781347
35;7.0;125;0.1066925210846656
35;7.0;150;0.1206412479323658
35;7.0;182;0.0036318529996135
35;7.0;200;0.1347332525486246
35;7.0;250;0.0036318529996135
35;7.0;300;0.1957178411628249
35;7.0;330;0.0036318529996135
35;7.0;365;0.1887013125316086
35;7.0;550;0.2294726408636112
35;7.0;640;0.227208624922797
35;7.0;730;0.0036318529996135
35;7.0;1000;0.0036318529996135
35;7.0;1500;0.2710559435957326
35;7.0;2000;0.3062154077566746
35;7.0;2250;0.3260453009983243
35;7.0;3000;0.3581903819033027
35;7.0;3182;0.0036318529996135
35;7.0;3652;0.0036318529996135
35;6.0;1;0.0
35;6.0;2;0.0028531623903825
35;6.0;7;0.0114315193476664
35;6.0;15;0.0027261767355532
35;6.0;21;0.0252563708736318
35;6.0;30;0.0342316904238335
35;6.0;45;0.0472917966805855
35;6.0;50;0.0027261767355532
35;6.0;60;0.0027261767355532
35;6.0;75;0.066067661253137
35;6.0;90;0.0773572991303985
35;6.0;100;0.0799947120880664
35;6.0;125;0.0924879200946996
35;6.0;150;0.0961888230816185
35;6.0;182;0.0027261767355532
35;6.0;200;0.1063619909060312
35;6.0;250;0.0027261767355532
35;6.0;300;0.126728327268919
35;6.0;330;0.0027261767355532
35;6.0;365;0.1273314119849048
35;6.0;550;0.1361764055230967
35;6.0;640;0.1339530170678982
35;6.0;730;0.0027261767355532
35;6.0;1000;0.0027261767355532
35;6.0;1500;0.1476228017028877
35;6.0;2000;0.1517046884544776
35;6.0;2250;0.1489056460708554
35;6.0;3000;0.1554735011052462
35;6.0;3182;0.0027261767355532
35;6.0;3652;0.0027261767355532
35;5.0;1;0.0
35;5.0;2;0.0029212378202128
35;5.0;7;0.0118953834654631
35;5.0;15;0.0018106717849554
35;5.0;21;0.0238973991352615
35;5.0;30;0.0325120344590474
35;5.0;45;0.0474726178355239
35;5.0;50;0.0018106717849554
35;5.0;60;0.0018106717849554
35;5.0;75;0.0688579447184236
35;5.0;90;0.0862621248744049
35;5.0;100;0.0854998669450237
35;5.0;125;0.1054690830047317
35;5.0;150;0.1130747345453216
35;5.0;182;0.0018106717849554
35;5.0;200;0.1274772543031384
35;5.0;250;0.0018106717849554
35;5.0;300;0.1638446325872133
35;5.0;330;0.0018106717849554
35;5.0;365;0.1680150677179108
35;5.0;550;0.1911323154205088
35;5.0;640;0.1804369891771386
35;5.0;730;0.0018106717849554
35;5.0;1000;0.0018106717849554
35;5.0;1500;0.2011132977279936
35;5.0;2000;0.2148189417496627
35;5.0;2250;0.2010721878231124
35;5.0;3000;0.2097931748877454
35;5.0;3182;0.0018106717849554
35;5.0;3652;0.0018106717849554
35;4.0;1;0.0
35;4.0;2;0.0031140558186317
35;4.0;7;0.0126962701803336
35;4.0;15;0.0010399296135287
35;4.0;21;0.0258816755897173
35;4.0;30;0.0351576050633185
35;4.0;45;0.0471036131913243
35;4.0;50;0.0010399296135287
35;4.0;60;0.0010399296135287
35;4.0;75;0.066298569421861
35;4.0;90;0.0813713179051091
35;4.0;100;0.0800622965505314
35;4.0;125;0.0967837991127325
35;4.0;150;0.1111983718022843
35;4.0;182;0.0010399296135287
35;4.0;200;0.1289075974588563
35;4.0;250;0.0010399296135287
35;4.0;300;0.1716688452410998
35;4.0;330;0.0010399296135287
35;4.0;365;0.1732266538130741
35;4.0;550;0.2291566655570981
35;4.0;640;0.2079758203508772
35;4.0;730;0.0010399296135287
35;4.0;1000;0.0010399296135287
35;4.0;1500;0.2580930104937128
35;4.0;2000;0.2878425727911263
35;4.0;2250;0.2696068228459495
35;4.0;3000;0.2914571599793096
35;4.0;3182;0.0010399296135287
35;4.0;3652;0.0010399296135287
35;8.0;1;0.0
35;8.0;2;0.0055401589824067
35;8.0;7;0.0220042841097064
35;8.0;15;0.003606225586501
35;8.0;21;0.0477527307473084
35;8.0;30;0.0641604967373154
35;8.0;45;0.0894760337485817
35;8.0;50;0.003606225586501
35;8.0;60;0.003606225586501
35;8.0;75;0.1284125803181464
35;8.0;90;0.1574924495483183
35;8.0;100;0.153731697097408
35;8.0;125;0.1911174979732708
35;8.0;150;0.1996224972029465
35;8.0;182;0.003606225586501
35;8.0;200;0.2239945817862875
35;8.0;250;0.003606225586501
35;8.0;300;0.2769582127389934
35;8.0;330;0.003606225586501
35;8.0;365;0.2890753593228852
35;8.0;550;0.311477387868966
35;8.0;640;0.2991918465216628
35;8.0;730;0.003606225586501
35;8.0;1000;0.003606225586501
35;8.0;1500;0.3392633613355791
35;8.0;2000;0.3526583046343134
35;8.0;2250;0.3382365052161899
35;8.0;3000;0.3560434913315308
35;8.0;3182;0.003606225586501
35;8.0;3652;0.003606225586501
35;9.0;1;0.0
35;9.0;2;0.002497158839842
35;9.0;7;0.0088445460548075
35;9.0;15;0.0031028964881321
35;9.0;21;0.0193698112904562
35;9.0;30;0.0252357890430049
35;9.0;45;0.0328883188616343
35;9.0;50;0.0031028964881321
35;9.0;60;0.0031028964881321
35;9.0;75;0.0428452059520987
35;9.0;90;0.0489208359766
35;9.0;100;0.0506876094442863
35;9.0;125;0.0579205242123104
35;9.0;150;0.0602899492103736
35;9.0;182;0.0031028964881321
35;9.0;200;0.0667560116370259
35;9.0;250;0.0031028964881321
35;9.0;300;0.0789398564031542
35;9.0;330;0.0031028964881321
35;9.0;365;0.0795270086854965
35;9.0;550;0.0871779496032075
35;9.0;640;0.0827699747896388
35;9.0;730;0.0031028964881321
35;9.0;1000;0.0031028964881321
35;9.0;1500;0.0910136232437264
35;9.0;2000;0.0947952259781376
35;9.0;2250;0.0917914172348194
35;9.0;3000;0.0962444009974252
35;9.0;3182;0.0031028964881321
35;9.0;3652;0.0031028964881321
35;12.0;1;0.0
35;12.0;2;0.0048374832153588
35;12.0;7;0.0232766313293
35;12.0;15;0.0030016882065456
35;12.0;21;0.0393932034831166
35;12.0;30;0.0559281700269176
35;12.0;45;0.0891788237073929
35;12.0;50;0.0030016882065456
35;12.0;60;0.0030016882065456
35;12.0;75;0.1513140476987338
35;12.0;90;0.205651067122906
35;12.0;100;0.1965513626589649
35;12.0;125;0.2738154156789139
35;12.0;150;0.342806076358315
35;12.0;182;0.0030016882065456
35;12.0;200;0.4174477933188253
35;12.0;250;0.0030016882065456
35;12.0;300;0.5719522381527831
35;12.0;330;0.0030016882065456
35;12.0;365;0.5988163462371279
35;12.0;550;0.841542193326434
35;12.0;640;0.7499299151339032
35;12.0;730;0.0030016882065456
35;12.0;1000;0.0030016882065456
35;12.0;1500;0.9728083818217128
35;12.0;2000;1.096986811723758
35;12.0;2250;0.9723329137432694
35;12.0;3000;1.063271831337815
35;12.0;3182;0.0030016882065456
35;12.0;3652;0.0030016882065456
35;11.0;1;0.0
35;11.0;2;0.0018299947701747
35;11.0;7;0.0065034214457522
35;11.0;15;0.0023827622074321
35;11.0;21;0.0138990913934564
35;11.0;30;0.0183078511618471
35;11.0;45;0.0242753863178454
35;11.0;50;0.0023827622074321
35;11.0;60;0.0023827622074321
35;11.0;75;0.0315442989473933
35;11.0;90;0.036544170049638
35;11.0;100;0.0378644348518429
35;11.0;125;0.0434175107546881
35;11.0;150;0.0457727246411898
35;11.0;182;0.0023827622074321
35;11.0;200;0.0505433552479659
35;11.0;250;0.0023827622074321
35;11.0;300;0.0611936997089357
35;11.0;330;0.0023827622074321
35;11.0;365;0.0627550165659134
35;11.0;550;0.0701940164436042
35;11.0;640;0.0661409197603685
35;11.0;730;0.0023827622074321
35;11.0;1000;0.0023827622074321
35;11.0;1500;0.0747944480750771
35;11.0;2000;0.0789119509845617
35;11.0;2250;0.0754449817802358
35;11.0;3000;0.0798060545472268
35;11.0;3182;0.0023827622074321
35;11.0;3652;0.0023827622074321
35;13.0;1;0.0
35;13.0;2;0.0024637179505075
35;13.0;7;0.0096694133059402
35;13.0;15;0.0026145668813968
35;13.0;21;0.0194546336119536
35;13.0;30;0.0263597846723194
35;13.0;45;0.0369647320394886
35;13.0;50;0.0026145668813968
35;13.0;60;0.0026145668813968
35;13.0;75;0.0526833858022802
35;13.0;90;0.0664451143125573
35;13.0;100;0.0648432604269677
35;13.0;125;0.0829199589571235
35;13.0;150;0.0953292437109935
35;13.0;182;0.0026145668813968
35;13.0;200;0.1078980956286593
35;13.0;250;0.0026145668813968
35;13.0;300;0.1496918443261539
