Site;Rate;H Error;SubCatch
2;1;0.0;1.0
2;1;0.0;2.0
2;1;0.0;3.0
2;1;0.0;4.0
2;2;0.0035488748873556;1.0
2;2;0.0085532176410027;2.0
2;2;0.0057052392540187;3.0
2;2;0.0006750431919812;4.0
2;7;0.0145161857993225;1.0
2;7;0.0388064007461574;2.0
2;7;0.0253595592597897;3.0
2;7;0.0022975173499961;4.0
2;30;0.0378764562954786;1.0
2;30;0.1097975769701021;2.0
2;30;0.0729474621042251;3.0
2;30;0.0058053961345371;4.0
2;90;0.0911190426180191;1.0
2;90;0.4080204731085328;2.0
2;90;0.1941473333641155;3.0
2;90;0.0122141928311769;4.0
2;182;0.1630634463828472;1.0
2;182;0.722698011235125;2.0
2;182;0.3459715819987425;3.0
2;182;0.0203637825739111;4.0
2;365;0.1863834863359162;1.0
2;365;1.033131646842377;2.0
2;365;0.4195839138732413;3.0
2;365;0.0224072389338543;4.0
2;730;0.2274710823432675;1.0
2;730;1.4662195155842974;2.0
2;730;0.5512057261581222;3.0
2;730;0.0246410342984375;4.0
2;3652;0.2944728821628192;1.0
2;3652;1.860914612865921;2.0
2;3652;0.6427955651558246;3.0
2;3652;0.0268670842602532;4.0
8;1;0.0;8.0
8;1;0.0;3.0
8;1;0.0;5.0
8;1;0.0;1.0
8;1;0.0;6.0
8;1;0.0;4.0
8;1;0.0;2.0
8;2;0.0015867022667274;8.0
8;2;0.0025766623025746;3.0
8;2;0.002526040051818;5.0
8;2;0.0018255879318057;1.0
8;2;0.0035719191140186;6.0
8;2;0.0033921532606206;4.0
8;2;0.0008073384621761;2.0
8;7;0.0066460906374398;8.0
8;7;0.0103201598893671;3.0
8;7;0.0098597322392511;5.0
8;7;0.0073668989758993;1.0
8;7;0.0148131129692547;6.0
8;7;0.0140286707637118;4.0
8;7;0.0029169729303443;2.0
8;30;0.0214290949009467;8.0
8;30;0.0246781566231954;3.0
8;30;0.0272838452086052;5.0
8;30;0.0191465817729049;1.0
8;30;0.0366574309481053;6.0
8;30;0.0360391468357491;4.0
8;30;0.007446412565867;2.0
8;90;0.0511980284612071;8.0
8;90;0.0681022701587948;3.0
8;90;0.0597685842976054;5.0
8;90;0.042716508364531;1.0
8;90;0.1097565826953555;6.0
8;90;0.1015689471669502;4.0
8;90;0.0186207411956028;2.0
8;182;0.0729730238569092;8.0
8;182;0.1371261284839518;3.0
8;182;0.1111895278197212;5.0
8;182;0.1077621033996638;1.0
8;182;0.2332408814001978;6.0
8;182;0.1941245379747239;4.0
8;182;0.0430978227349404;2.0
8;365;0.0829448703686078;8.0
8;365;0.158624269524514;3.0
8;365;0.134513729635325;5.0
8;365;0.1381291650824977;1.0
8;365;0.2979325838893798;6.0
8;365;0.2465487220237633;4.0
8;365;0.0489695655895853;2.0
8;730;0.0921247582708588;8.0
8;730;0.1848336793982475;3.0
8;730;0.1989231945380616;5.0
8;730;0.2106619656234153;1.0
8;730;0.4460996742215818;6.0
8;730;0.3279306201431767;4.0
8;730;0.0655230023457704;2.0
8;3652;0.1033339005711381;8.0
8;3652;0.1910370671429461;3.0
8;3652;0.253565409324563;5.0
8;3652;0.2576246233878016;1.0
8;3652;0.6107739322555041;6.0
8;3652;0.449552353570494;4.0
8;3652;0.0776850462876665;2.0
13;1;0.0;1
13;1;0.0;3
13;2; 0.0021907661877500796;1
13;2; 0.002379325826266999;3
13;7; 0.007820955244646282;1
13;7; 0.008818524332830317;3
13;30; 0.02096387457573455;1
13;30; 0.023919525329619627;3
13;90; 0.04467452491518322;1
13;90; 0.05876066782726802;3
13;182; 0.07007958226064537;1
13;182; 0.10157295047973564;3
13;365; 0.07624184587202591;1
13;365; 0.11357439980053799;3
13;730; 0.08436067255480138;1
13;730; 0.12605336600172926;3
13;3652; 0.09526415117584873;1
13;3652; 0.1376238017189955;3
18;1;0.0;4.0
18;2;0.0016343316961933;4.0
18;7;0.005121275722781;4.0
18;30;0.013022431319224;4.0
18;90;0.0274766933281444;4.0
18;182;0.0455999859724022;4.0
18;365;0.0481160170316837;4.0
18;730;0.0497953805544372;4.0
18;3652;0.0515095706017609;4.0
19;1;0.0;1.0
19;1;0.0;2.0
19;2;0.0073289447235448;1.0
19;2;0.0071558985505027;2.0
19;7;0.0317318278262551;1.0
19;7;0.0309267692467264;2.0
19;30;0.085848031856365;1.0
19;30;0.087639745106709;2.0
19;90;0.1988494275781533;1.0
19;90;0.205911826402876;2.0
19;182;0.359745411679045;1.0
19;182;0.3451108524920454;2.0
19;365;0.4254579102738617;1.0
19;365;0.4082506829503288;2.0
19;730;0.4681799018693393;1.0
19;730;0.4493123002907788;2.0
19;3652;0.4932405849300914;1.0
19;3652;0.4699589938324995;2.0
33;1;0.0;3.0
33;1;0.0;2.0
33;1;0.0;5.0
33;1;0.0;4.0
33;1;0.0;6.0
33;1;0.0;7.0
33;1;0.0;8.0
33;1;0.0;9.0
33;2;0.002018266583456;3.0
33;2;0.0028055158001391;2.0
33;2;6.477501234410618e-05;5.0
33;2;6.743495761743045e-05;4.0
33;2;0.0021696318585008;6.0
33;2;0.0024822141967547;7.0
33;2;0.003327302311581;8.0
33;2;0.0022826169439025;9.0
33;7;0.0158513354869977;3.0
33;7;0.0274390846980751;2.0
33;7;0.0175098137751292;5.0
33;7;0.0196386724185224;4.0
33;7;0.0131758162594608;6.0
33;7;0.0077755379352878;7.0
33;7;0.0153309023791771;8.0
33;7;0.0160269418129041;9.0
33;30;0.0429242156019268;3.0
33;30;0.0843838997550839;2.0
33;30;0.0431829231327103;5.0
33;30;0.0459081173542829;4.0
33;30;0.0369606031592713;6.0
33;30;0.019899778640195;7.0
33;30;0.0379180863690924;8.0
33;30;0.0414419683528203;9.0
