sites,number,xmin,xmax,ymin,ymax,port_number
Granville_Barneville,0,348000,376000,6868000,6932000,
Breville-Sur-Mer,1,360487.5,374962.5,6868837.5,6882487.5,26
Agon-Coutainville,2,362000,374000,6886000,6899000,26
Saint-Germain-Sur-Ay,3,357000,370000,6910500,6925500,23
Jullouville,4,363270,368065,6861365,6867475,26
Etréham,5,413295,427611,6914668,6924759,34
Genêts,6,370325,380808,6847915,6859489,29
Saint-Pair-sur-Mer,7,361865,375194,6864278,6870158,26
Arromanches-les-Bains,8,431093,448998,6915680,6923236,35
Port-en-Bessin,9,425997,435138,6905066,6923594,34
Courtils,10,370474,387371,6836230,6852063,29
Lessay,11,367795,374393,6909026,6917699,23
Doville,12,360079,377692,6917114,6932519,23
Graye-sur-Mer,13,443256,449592,6916749,6921161,35
Saint-Potan,14,302491,317257,6831377,6845904,12
Saint-Vaast-la-Hougue,15,384332,392343,6944140,6954778,30
La_Pernelle,16,379075,396473,6951243,6960004,30
Lestre,17,378704,389863,6942266,6950855,30
Banville,18,443546,448439,6914826,6919051,35
Isigny-sur-Mer,19,395037,405686,6918725,6926751,33
Saint-Malo,20,328102,346301,6842851,6857817,14
Pierreville,21,350819,358401,6933959,6945811,22
La_Feuillie,22,370733,378595,6894810,6911769,23
Tourlaville,23,366163,372908,6950481,6960398,27
Octeville,24,361813,369436,6956257,6961406,27
Saint-Briac-sur-Mer,25,316587,328919,6830386,6851138,14
Granville,26,360536,377257,6865639,6873915,26
Blainville-sur-Mer,27,363519,374494,6886577,6912358,23
Hauteville-sur-Mer,28,365615,371721,6880312,6889191,26
Sainte-Marie-du-Mont,29,389106,399561,6920142,6930632,33
Vierville-sur-Mer,30,400056,432501,6920799,6929295,34
Cherrueix,31,347796,365581,6838037,6845420,20
Chef-du-Pont,32,378852,390719,6926214,6934015,33
Saint-Lô,33,388641,399522,6888119,6898042,33
Couvains,34,406635,416350,6895322,6907816,33
Rocheville,35,363294,373696,6936601,6944851,33
Lison,36,399133,406038,6910686,6917441,33
Marigny,37,380093,387745,6886863,6895711,26
Carville,38,420355,429143,6871141,6882260,33
Percy,39,388342,400538,6872874,6879660,26
Saint-Armand,40,412793,425108,6884562,6894904,34
